,Class,Count,Count Majority,Count Homogeneous
0,A,1,0,0
1,B,1,0,0
2,C,1,0,0
3,D,1,0,0
4,E,1,0,0
5,F,1,1,0
6,G,4,3,2
7,H,1,0,0
8,I,6,6,6
9,J,1,1,1
10,K,1,0,0
11,L,11,10,10
12,M,1,1,1
13,N,1,0,0
14,O,1,0,0
15,P,2,1,1
16,Q,2,0,0
17,R,1,0,0
18,S,1,0,0
19,T,2,0,0
20,U,1,0,0
21,V,1,1,0
22,W,2,1,1
23,X,1,1,1
24,Y,1,0,0
25,Z,1,0,0
