split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
densenet_colless_index,201,-0.7935197045160436,-0.8480078668216878,-0.1716805521569941,-0.184529900963391,45
densenet_average_colless_index,201,-0.4917838732320719,-0.46661069968069,-0.6227865329556329,-0.6817143680893961,45
densenet_sackin_index,201,-0.7646069367041263,-0.8390759928898638,-0.5602044936849043,-0.520765340271459,45
densenet_average_sackin_index,201,-0.6391059080848066,-0.6015677898148853,-0.8780785161008015,-0.9298152411008626,45
densenet_leaf_count,201,-0.2067520711966304,-0.2608880100167038,0.4251839036667306,0.5092612585090082,45
resnet_average_branching_factor,201,-0.2799895350432616,-0.2574809931575204,-0.3534715762808614,-0.3329624102149066,45
resnet_colless_index,201,-0.6955672546485185,-0.7961538695867127,-0.2428332927591202,-0.2362762730049734,45
resnet_average_colless_index,201,0.0435063935521526,0.0003466583253819,0.1387659982127637,0.1336462768269196,45
resnet_sackin_index,201,-0.7669077996622148,-0.849259527325648,-0.8792897261688671,-0.8511252518214543,45
resnet_average_sackin_index,201,-0.6846876495867864,-0.5820442624994816,-0.8654851674797531,-0.8362544019670323,45
resnet_leaf_count,201,-0.6845100109722893,-0.7807737211834899,-0.507165818706885,-0.4954254643830469,45
cifar_densenet_average_branching_factor,201,0.0008522297052746,-0.0169210970857048,0.2545277169079322,0.2972790223244112,45
cifar_densenet_colless_index,201,-0.7935197045160436,-0.8480078668216878,-0.1716805521569941,-0.184529900963391,45
cifar_densenet_average_colless_index,201,-0.4917838732320719,-0.46661069968069,-0.6227865329556329,-0.6817143680893961,45
cifar_densenet_sackin_index,201,-0.7646069367041263,-0.8390759928898638,-0.5602044936849043,-0.520765340271459,45
cifar_densenet_average_sackin_index,201,-0.6391059080848066,-0.6015677898148853,-0.8780785161008015,-0.9298152411008626,45
cifar_densenet_leaf_count,201,-0.2067520711966304,-0.2608880100167038,0.4251839036667306,0.5092612585090082,45
cifar_resnet_average_branching_factor,201,-0.2799895350432616,-0.2574809931575204,-0.3534715762808614,-0.3329624102149066,45
cifar_resnet_colless_index,201,-0.6955672546485185,-0.7961538695867127,-0.2428332927591202,-0.2362762730049734,45
cifar_resnet_average_colless_index,201,0.0435063935521526,0.0003466583253819,0.1387659982127637,0.1336462768269196,45
cifar_resnet_sackin_index,201,-0.7669077996622148,-0.849259527325648,-0.8792897261688671,-0.8511252518214543,45
