,True Label,True Class,count,Proportion,Coverage
640,640,manhole cover,655,0.002496759929862011,0.4852
42,42,agama,652,0.002485324388198521,0.483
583,583,guillotine,652,0.002485324388198521,0.4891
316,316,cicada,649,0.002473888846535031,0.4807
274,274,dhole,649,0.002473888846535031,0.4807
642,642,marimba,646,0.0024624533048715406,0.4785
405,405,airship,644,0.002454829610429214,0.477
956,956,custard apple,644,0.002454829610429214,0.477
888,888,viaduct,640,0.0024395822215445605,0.4741
403,403,aircraft carrier,639,0.0024357703743233972,0.4733
144,144,pelican,637,0.0024281466798810702,0.4719
833,833,submarine,636,0.002424334832659907,0.4711
100,100,black swan,632,0.0024090874437752534,0.4681
291,291,lion,632,0.0024090874437752534,0.4681
687,687,organ,631,0.00240527559655409,0.4674
47,47,African chameleon,629,0.0023976519021117635,0.4659
627,627,limousine,620,0.002363345277121293,0.4593
798,798,slide rule,619,0.0023595334299001294,0.5107
612,612,jinrikisha,616,0.0023480978882366396,0.4563
726,726,plane,616,0.0023480978882366396,0.4563
261,261,keeshond,613,0.0023366623465731493,0.4541
326,326,lycaenid,613,0.0023366623465731493,0.4541
704,704,parking meter,612,0.002332850499351986,0.4533
952,952,fig,612,0.002332850499351986,0.4533
97,97,drake,610,0.002325226804909659,0.4519
296,296,ice bear,610,0.002325226804909659,0.4519
293,293,cheetah,610,0.002325226804909659,0.4519
107,107,jellyfish,608,0.0023176031104673324,0.4504
768,768,rugby ball,608,0.0023176031104673324,0.4504
944,944,artichoke,606,0.002309979416025006,0.4489
334,334,porcupine,606,0.002309979416025006,0.4489
920,920,traffic light,604,0.002302355721582679,0.4474
220,220,Sussex spaniel,602,0.0022947320271403523,0.4459
69,69,trilobite,602,0.0022947320271403523,0.4459
500,500,cliff dwelling,601,0.002290920179919189,0.4452
991,991,coral fungus,601,0.002290920179919189,0.4452
308,308,fly,599,0.002283296485476862,0.4437
746,746,puck,597,0.0022756727910345355,0.4422
739,739,potter's wheel,595,0.0022680490965922085,0.4407
723,723,pinwheel,593,0.002260425402149882,0.5081
749,749,quill,592,0.0022566135549287186,0.4385
974,974,geyser,590,0.0022489898604863916,0.437
989,989,hip,590,0.0022489898604863916,0.437
455,455,bottlecap,588,0.002241366166044065,0.4356
146,146,albatross,587,0.0022375543188229018,0.4348
18,18,magpie,584,0.0022261187771594115,0.4326
855,855,thimble,584,0.0022261187771594115,0.4326
649,649,megalith,581,0.0022146832354959212,0.4304
149,149,dugong,580,0.002210871388274758,0.4296
451,451,bolo tie,579,0.0022070595410535947,0.4289
362,362,badger,578,0.0022032476938324314,0.4281
625,625,lifeboat,575,0.002191812152168941,0.4259
971,971,bubble,575,0.002191812152168941,0.4259
990,990,buckeye,572,0.002180376610505451,0.4237
17,17,jay,571,0.0021765647632842875,0.423
260,260,chow,570,0.0021727529160631242,0.4222
915,915,yurt,565,0.0021536936799573074,0.4185
858,858,tile roof,565,0.0021536936799573074,0.4185
1,1,goldfish,564,0.002149881832736144,0.4178
104,104,wallaby,560,0.0021346344438514906,0.4148
420,420,banjo,559,0.0021308225966303273,0.4141
786,786,sewing machine,558,0.0021270107494091636,0.4133
816,816,spindle,558,0.0021270107494091636,0.4133
941,941,acorn squash,557,0.0021231989021880003,0.4126
106,106,wombat,555,0.0021155752077456737,0.4111
586,586,half track,555,0.0021155752077456737,0.4111
820,820,steam locomotive,553,0.0021079515133033467,0.4096
525,525,dam,553,0.0021079515133033467,0.4096
688,688,oscilloscope,547,0.0020850804299763666,0.4052
995,995,earthstar,546,0.0020812685827552033,0.4044
994,994,stinkhorn,546,0.0020812685827552033,0.4044
862,862,torch,546,0.0020812685827552033,0.4044
571,571,gas pump,545,0.0020774567355340396,0.4037
78,78,tick,543,0.002069833041091713,0.4022
439,439,bearskin,542,0.0020660211938705497,0.4305
350,350,ibex,541,0.0020622093466493865,0.4007
93,93,hornbill,539,0.0020545856522070595,0.3993
988,988,acorn,539,0.0020545856522070595,0.3993
429,429,baseball,539,0.0020545856522070595,0.3993
793,793,shower cap,539,0.0020545856522070595,0.3993
924,924,guacamole,538,0.002050773804985896,0.3985
770,770,running shoe,538,0.002050773804985896,0.3985
835,835,sundial,538,0.002050773804985896,0.3985
22,22,bald eagle,538,0.002050773804985896,0.3985
672,672,mountain tent,533,0.0020317145688800793,0.3948
116,116,chiton,532,0.002027902721658916,0.3941
138,138,bustard,528,0.0020126553327742625,0.3911
496,496,Christmas stocking,526,0.0020050316383319355,0.3896
317,317,leafhopper,524,0.001997407943889609,0.3881
120,120,fiddler crab,523,0.0019935960966684456,0.3874
111,111,nematode,522,0.0019897842494472824,0.3867
592,592,hard disc,519,0.001978348707783792,0.3844
262,262,Brabancon griffon,518,0.001974536860562629,0.4625
338,338,guinea pig,517,0.001970725013341465,0.383
707,707,pay-phone,517,0.001970725013341465,0.383
802,802,snowmobile,516,0.001966913166120302,0.3822
678,678,neck brace,513,0.001955477624456812,0.4171
325,325,sulphur butterfly,509,0.0019402302355721582,0.377
877,877,turnstile,509,0.0019402302355721582,0.377
309,309,bee,508,0.0019364183883509949,0.3763
253,253,basenji,506,0.001928794693908668,0.3748
666,666,mortar,505,0.0019249828466875048,0.3741
294,294,brown bear,502,0.0019135473050240145,0.3719
53,53,ringneck snake,502,0.0019135473050240145,0.3719
699,699,panpipe,498,0.0018982999161393612,0.3689
466,466,bullet train,498,0.0018982999161393612,0.3689
448,448,birdhouse,496,0.0018906762216970344,0.3674
480,480,cash machine,496,0.0018906762216970344,0.3674
306,306,rhinoceros beetle,495,0.001886864374475871,0.3667
347,347,bison,495,0.001886864374475871,0.3667
891,891,waffle iron,494,0.0018830525272547076,0.4162
514,514,cowboy boot,492,0.0018754288328123809,0.3644
422,422,barbell,490,0.001867805138370054,0.363
674,674,mousetrap,490,0.001867805138370054,0.363
458,458,brass,487,0.001856369596706564,0.3607
927,927,trifle,487,0.001856369596706564,0.3607
741,741,prayer rug,486,0.0018525577494854007,0.36
593,593,harmonica,485,0.0018487459022642372,0.3593
766,766,rotisserie,484,0.001844934055043074,0.3585
103,103,platypus,483,0.0018411222078219104,0.3654
332,332,Angora,481,0.0018334985133795837,0.3563
401,401,accordion,479,0.001825874818937257,0.3548
722,722,ping-pong ball,479,0.001825874818937257,0.3596
375,375,colobus,477,0.0018182511244949303,0.3533
34,34,leatherback turtle,477,0.0018182511244949303,0.3533
327,327,starfish,474,0.00180681558283144,0.3511
606,606,iron,474,0.00180681558283144,0.3511
897,897,washer,474,0.00180681558283144,0.3511
574,574,golf ball,474,0.00180681558283144,0.3511
684,684,ocarina,473,0.0018030037356102768,0.3504
475,475,car mirror,472,0.0017991918883891133,0.3496
614,614,kimono,468,0.00178394449950446,0.3467
125,125,hermit crab,468,0.00178394449950446,0.3467
934,934,hotdog,467,0.0017801326522832964,0.3459
43,43,frilled lizard,467,0.0017801326522832964,0.4002
13,13,junco,467,0.0017801326522832964,0.3459
430,430,basketball,466,0.0017763208050621331,0.3452
134,134,crane,465,0.0017725089578409696,0.3444
622,622,lens cap,464,0.0017686971106198063,0.3437
271,271,red wolf,462,0.0017610734161774796,0.3422
919,919,street sign,461,0.0017572615689563163,0.3415
552,552,feather boa,458,0.001745826027292826,0.3393
945,945,bell pepper,457,0.0017420141800716627,0.3385
628,628,liner,456,0.0017382023328504994,0.3378
554,554,fireboat,456,0.0017382023328504994,0.3378
859,859,toaster,452,0.0017229549439658459,0.3348
39,39,common iguana,450,0.001715331249523519,0.3333
498,498,cinema,448,0.0017077075550811923,0.3319
355,355,llama,447,0.001703895707860029,0.3311
305,305,dung beetle,446,0.0017000838606388655,0.3304
298,298,mongoose,446,0.0017000838606388655,0.3304
714,714,pick,445,0.0016962720134177022,0.3687
491,491,chain saw,443,0.0016886483189753755,0.3561
932,932,pretzel,439,0.001673400930090722,0.3252
443,443,bib,435,0.0016581535412060686,0.3222
763,763,revolver,434,0.001654341693984905,0.3215
392,392,rock beauty,432,0.0016467179995425783,0.4239
407,407,ambulance,432,0.0016467179995425783,0.32
913,913,wreck,432,0.0016467179995425783,0.32
568,568,fur coat,431,0.001642906152321415,0.3193
173,173,Ibizan hound,431,0.001642906152321415,0.3193
964,964,potpie,426,0.0016238469162155982,0.3156
720,720,pill bottle,422,0.0016085995273309446,0.3126
315,315,mantis,421,0.0016047876801097813,0.3119
307,307,weevil,420,0.0016009758328886178,0.3111
394,394,sturgeon,418,0.001593352138446291,0.3096
962,962,meat loaf,417,0.0015895402912251277,0.3089
658,658,mitten,415,0.001581916596782801,0.3074
653,653,milk can,414,0.0015781047495616375,0.3609
713,713,photocopier,413,0.0015742929023404742,0.3059
38,38,banded gecko,413,0.0015742929023404742,0.3059
194,194,Dandie Dinmont,412,0.001570481055119311,0.3416
417,417,balloon,406,0.0015476099717923306,0.3007
