,Class,Count,Count Majority
308,fly,1,1
309,bee,1,1
310,ant,3,2
311,grasshopper,30,30
312,cricket,18,18
313,walking stick,1,1
314,cockroach,1,1
315,mantis,1,1
316,cicada,1,1
317,leafhopper,1,1
318,lacewing,1,1
319,dragonfly,20,20
320,damselfly,14,14
321,admiral,1,1
322,ringlet,1,1
323,monarch,2,2
324,cabbage butterfly,1,1
325,sulphur butterfly,1,1
326,lycaenid,1,1
327,starfish,1,1
328,sea urchin,2,2
329,sea cucumber,4,3
330,wood rabbit,14,14
331,hare,1,1
332,Angora,1,1
333,hamster,2,2
334,porcupine,1,1
335,fox squirrel,1,1
336,marmot,2,2
337,beaver,2,2
338,guinea pig,1,1
339,sorrel,1,1
340,zebra,1,1
341,hog,2,2
342,wild boar,25,25
343,warthog,7,7
344,hippopotamus,2,1
345,ox,13,13
346,water buffalo,9,8
347,bison,1,1
348,ram,17,17
349,bighorn,21,21
350,ibex,2,1
351,hartebeest,1,1
352,impala,17,17
353,gazelle,8,8
354,Arabian camel,3,2
355,llama,1,1
356,weasel,17,17
357,mink,15,15
358,polecat,8,8
359,black-footed ferret,24,23
360,otter,1,1
361,skunk,3,2
362,badger,1,1
363,armadillo,1,1
364,three-toed sloth,2,1
365,orangutan,3,2
366,gorilla,3,3
367,chimpanzee,1,1
368,gibbon,7,7
369,siamang,14,14
370,guenon,2,2
371,patas,3,3
372,baboon,5,5
373,macaque,9,9
374,langur,7,7
375,colobus,1,1
376,proboscis monkey,1,1
377,marmoset,13,13
378,capuchin,13,13
379,howler monkey,8,8
380,titi,3,3
381,spider monkey,5,5
382,squirrel monkey,30,30
383,Madagascar cat,25,24
384,indri,3,3
385,Indian elephant,19,19
386,African elephant,27,26
387,lesser panda,1,1
388,giant panda,1,1
389,barracouta,4,3
390,eel,4,4
391,coho,3,2
392,rock beauty,1,1
393,anemone fish,10,10
394,sturgeon,1,1
395,gar,3,2
396,lionfish,1,1
397,puffer,1,1
398,abacus,2,2
399,abaya,5,5
400,academic gown,16,16
401,accordion,1,1
402,acoustic guitar,3,3
403,aircraft carrier,1,1
404,airliner,16,16
405,airship,1,1
406,altar,9,9
407,ambulance,2,2
408,amphibian,2,2
409,analog clock,20,20
410,apiary,5,4
411,apron,3,3
412,ashcan,16,16
413,assault rifle,15,15
414,backpack,2,2
415,bakery,5,5
416,balance beam,8,8
417,balloon,2,1
418,ballpoint,12,12
419,Band Aid,1,1
420,banjo,1,1
421,bannister,10,10
422,barbell,3,3
423,barber chair,17,17
424,barbershop,19,19
425,barn,1,1
426,barometer,2,1
427,barrel,10,9
428,barrow,1,1
429,baseball,5,5
430,basketball,3,2
431,bassinet,18,18
432,bassoon,1,1
433,bathing cap,1,1
434,bath towel,5,5
435,bathtub,34,34
436,beach wagon,3,3
437,beacon,2,2
438,beaker,3,3
439,bearskin,2,2
440,beer bottle,7,7
441,beer glass,4,4
442,bell cote,11,11
443,bib,2,2
444,bicycle-built-for-two,1,1
445,bikini,11,10
446,binder,7,6
447,binoculars,5,4
448,birdhouse,3,3
449,boathouse,3,3
450,bobsled,1,1
451,bolo tie,3,2
452,bonnet,3,3
453,bookcase,10,10
454,bookshop,8,8
455,bottlecap,3,3
456,bow,4,3
457,bow tie,1,1
458,brass,1,1
459,brassiere,3,3
460,breakwater,7,6
461,breastplate,21,21
462,broom,4,4
463,bucket,9,7
464,buckle,8,8
465,bulletproof vest,3,1
466,bullet train,1,1
467,butcher shop,1,1
468,cab,2,2
469,caldron,2,2
470,candle,2,2
471,cannon,1,1
472,canoe,14,12
473,can opener,14,14
474,cardigan,5,5
475,car mirror,2,2
476,carousel,1,1
477,carpenter's kit,5,5
478,carton,6,5
479,car wheel,11,11
480,cash machine,2,2
481,cassette,16,16
482,cassette player,10,10
483,castle,3,3
484,catamaran,11,11
485,CD player,21,21
486,cello,6,6
487,cellular telephone,16,16
488,chain,16,16
489,chainlink fence,5,5
490,chain mail,2,2
491,chain saw,1,1
492,chest,2,2
493,chiffonier,2,2
494,chime,10,6
495,china cabinet,2,2
496,Christmas stocking,1,1
497,church,7,7
498,cinema,2,2
499,cleaver,2,2
500,cliff dwelling,1,1
501,cloak,5,5
502,clog,12,11
503,cocktail shaker,2,2
504,coffee mug,11,11
505,coffeepot,27,27
506,coil,14,13
507,combination lock,1,1
508,computer keyboard,24,24
509,confectionery,12,11
510,container ship,1,1
511,convertible,6,6
512,corkscrew,2,2
513,cornet,4,4
514,cowboy boot,3,2
515,cowboy hat,14,13
516,cradle,15,14
517,crane,4,3
518,crash helmet,3,3
519,crate,2,2
520,crib,17,17
521,Crock Pot,1,1
522,croquet ball,2,1
523,crutch,1,1
524,cuirass,25,24
525,dam,1,1
526,desk,17,17
527,desktop computer,15,14
528,dial telephone,2,2
529,diaper,3,3
530,digital clock,3,3
531,digital watch,20,20
532,dining table,6,6
533,dishrag,1,1
534,dishwasher,4,3
535,disk brake,1,1
536,dock,9,9
537,dogsled,3,3
538,dome,11,11
539,doormat,5,5
540,drilling platform,1,1
541,drum,7,7
542,drumstick,6,6
543,dumbbell,26,25
544,Dutch oven,2,2
545,electric fan,2,2
546,electric guitar,9,9
547,electric locomotive,2,2
548,entertainment center,2,2
549,envelope,9,9
550,espresso maker,3,3
551,face powder,2,2
552,feather boa,1,1
553,file,3,3
554,fireboat,1,1
555,fire engine,2,2
556,fire screen,4,3
