,True Label,True Class,count,Proportion,Coverage
887,888,viaduct,640,0.0026406235172280056,0.4741
403,403,aircraft carrier,639,0.002636497542982337,0.4733
144,144,pelican,637,0.0026282455944909994,0.4719
832,833,submarine,636,0.0026241196202453306,0.4711
291,291,lion,632,0.0026076157232626553,0.4681
100,100,black swan,632,0.0026076157232626553,0.4681
686,687,organ,631,0.0026034897490169865,0.4674
47,47,African chameleon,629,0.002595237800525649,0.4659
626,627,limousine,620,0.0025581040323146304,0.4593
797,798,slide rule,619,0.0025539780580689617,0.5107
611,612,jinrikisha,616,0.0025416001353319555,0.4563
725,726,plane,616,0.0025416001353319555,0.4563
326,326,lycaenid,613,0.002529222212594949,0.4541
951,952,fig,612,0.00252509623834928,0.4533
703,704,parking meter,611,0.0025209702641036114,0.4526
97,97,drake,610,0.0025168442898579426,0.4519
296,296,ice bear,610,0.0025168442898579426,0.4519
767,768,rugby ball,608,0.002508592341366605,0.4504
107,107,jellyfish,608,0.002508592341366605,0.4504
334,334,porcupine,606,0.0025003403928752677,0.4489
943,944,artichoke,606,0.0025003403928752677,0.4489
919,920,traffic light,604,0.00249208844438393,0.4474
69,69,trilobite,602,0.0024838364958925927,0.4459
990,991,coral fungus,601,0.002479710521646924,0.4452
500,500,cliff dwelling,601,0.002479710521646924,0.4452
308,308,fly,599,0.0024714585731555865,0.4437
722,723,pinwheel,592,0.002442576753435905,0.5073
973,974,geyser,590,0.0024343248049445675,0.437
748,749,quill,590,0.0024343248049445675,0.437
988,989,hip,590,0.0024343248049445675,0.437
455,455,bottlecap,587,0.0024219468822075613,0.4348
146,146,albatross,587,0.0024219468822075613,0.4348
18,18,magpie,584,0.002409568959470555,0.4326
854,855,thimble,583,0.0024054429852248863,0.4319
648,649,megalith,581,0.002397191036733549,0.4304
149,149,dugong,580,0.00239306506248788,0.4296
451,451,bolo tie,579,0.0023889390882422114,0.4289
362,362,badger,578,0.0023848131139965426,0.4281
624,625,lifeboat,575,0.002372435191259536,0.4259
970,971,bubble,574,0.0023683092170138672,0.4252
989,990,buckeye,572,0.0023600572685225298,0.4237
17,17,jay,571,0.002355931294276861,0.423
738,739,potter's wheel,570,0.0023518053200311923,0.4222
914,915,yurt,565,0.0023311754488028486,0.4185
857,858,tile roof,565,0.0023311754488028486,0.4185
1,1,goldfish,562,0.0023187975260658424,0.4163
104,104,wallaby,560,0.002310545577574505,0.4148
420,420,banjo,559,0.002306419603328836,0.4141
815,816,spindle,558,0.0023022936290831675,0.4133
785,786,sewing machine,558,0.0023022936290831675,0.4133
940,941,acorn squash,557,0.0022981676548374983,0.4126
106,106,wombat,555,0.002289915706346161,0.4111
585,586,half track,555,0.002289915706346161,0.4111
525,525,dam,553,0.0022816637578548233,0.4096
819,820,steam locomotive,553,0.0022816637578548233,0.4096
687,688,oscilloscope,547,0.002256907912380811,0.4052
994,995,earthstar,546,0.002252781938135142,0.4044
861,862,torch,546,0.002252781938135142,0.4044
993,994,stinkhorn,546,0.002252781938135142,0.4044
571,571,gas pump,545,0.0022486559638894735,0.4037
78,78,tick,543,0.002240404015398136,0.4022
439,439,bearskin,543,0.002240404015398136,0.4313
350,350,ibex,540,0.0022280260926611298,0.4
987,988,acorn,539,0.002223900118415461,0.3993
93,93,hornbill,539,0.002223900118415461,0.3993
792,793,shower cap,539,0.002223900118415461,0.3993
429,429,baseball,539,0.002223900118415461,0.3993
923,924,guacamole,538,0.0022197741441697923,0.3985
769,770,running shoe,538,0.0022197741441697923,0.3985
22,22,bald eagle,538,0.0022197741441697923,0.3985
671,672,mountain tent,533,0.002199144272941448,0.3948
116,116,chiton,532,0.0021950182986957795,0.3941
138,138,bustard,528,0.0021785144017131045,0.3911
496,496,Christmas stocking,526,0.002170262453221767,0.3896
317,317,leafhopper,524,0.0021620105047304296,0.3881
120,120,fiddler crab,523,0.002157884530484761,0.3874
111,111,nematode,522,0.002153758556239092,0.3867
591,592,hard disc,519,0.002141380633502086,0.3844
262,262,Brabancon griffon,518,0.0021372546592564167,0.4625
338,338,guinea pig,517,0.002133128685010748,0.383
801,802,snowmobile,516,0.0021290027107650792,0.3822
677,678,neck brace,513,0.002116624788028073,0.4171
325,325,sulphur butterfly,509,0.002100120891045398,0.377
665,666,mortar,504,0.0020794910198170544,0.3733
53,53,ringneck snake,502,0.002071239071325717,0.3719
466,466,bullet train,498,0.0020547351743430415,0.3689
698,699,panpipe,498,0.0020547351743430415,0.3689
480,480,cash machine,496,0.002046483225851704,0.3674
448,448,birdhouse,495,0.0020423572516060353,0.3667
306,306,rhinoceros beetle,495,0.0020423572516060353,0.3667
347,347,bison,495,0.0020423572516060353,0.3667
410,410,apiary,494,0.0020382312773603666,0.3659
890,891,waffle iron,494,0.0020382312773603666,0.4162
514,514,cowboy boot,492,0.002029979328869029,0.3644
673,674,mousetrap,490,0.0020217273803776917,0.363
458,458,brass,487,0.0020093494576406854,0.3607
926,927,trifle,487,0.0020093494576406854,0.3607
740,741,prayer rug,486,0.0020052234833950167,0.36
765,766,rotisserie,485,0.002001097509149348,0.3593
592,593,harmonica,484,0.0019969715349036792,0.3585
103,103,platypus,483,0.0019928455606580105,0.3654
332,332,Angora,481,0.001984593612166673,0.3563
401,401,accordion,479,0.001976341663675335,0.3548
375,375,colobus,477,0.0019680897151839977,0.3533
574,574,golf ball,474,0.0019557117924469914,0.3511
896,897,washer,474,0.0019557117924469914,0.3511
605,606,iron,474,0.0019557117924469914,0.3511
327,327,starfish,474,0.0019557117924469914,0.3511
475,475,car mirror,471,0.0019433338697099852,0.3489
125,125,hermit crab,468,0.001930955946972979,0.3467
43,43,frilled lizard,467,0.0019268299727273103,0.4002
613,614,kimono,467,0.0019268299727273103,0.3459
933,934,hotdog,467,0.0019268299727273103,0.3459
430,430,basketball,466,0.0019227039984816416,0.3452
134,134,crane,465,0.0019185780242359728,0.3444
621,622,lens cap,463,0.0019103260757446351,0.343
552,552,feather boa,458,0.0018896962045162914,0.3393
944,945,bell pepper,457,0.0018855702302706227,0.3385
627,628,liner,456,0.001881444256024954,0.3378
554,554,fireboat,456,0.001881444256024954,0.3378
876,877,turnstile,456,0.001881444256024954,0.3378
858,859,toaster,452,0.0018649403590422788,0.3348
39,39,common iguana,450,0.0018566884105509413,0.3333
498,498,cinema,448,0.0018484364620596039,0.3319
355,355,llama,447,0.0018443104878139351,0.3311
298,298,mongoose,446,0.0018401845135682664,0.3304
713,714,pick,445,0.0018360585393225977,0.3687
305,305,dung beetle,445,0.0018360585393225977,0.3296
491,491,chain saw,443,0.00182780659083126,0.3561
745,746,puck,440,0.0018154286680942538,0.3259
931,932,pretzel,439,0.001811302693848585,0.3252
443,443,bib,435,0.0017947987968659099,0.3222
762,763,revolver,434,0.0017906728226202411,0.3215
392,392,rock beauty,432,0.0017824208741289036,0.4239
173,173,Ibizan hound,431,0.001778294899883235,0.3193
568,568,fur coat,431,0.001778294899883235,0.3193
407,407,ambulance,431,0.001778294899883235,0.3193
834,835,sundial,428,0.0017659169771462287,0.317
963,964,potpie,426,0.0017576650286548912,0.3156
719,720,pill bottle,422,0.001741161131672216,0.3126
307,307,weevil,420,0.0017329091831808786,0.3111
394,394,sturgeon,418,0.0017246572346895411,0.3096
961,962,meat loaf,417,0.0017205312604438724,0.3089
652,653,milk can,414,0.001708153337706866,0.3609
657,658,mitten,414,0.001708153337706866,0.3067
712,713,photocopier,413,0.0017040273634611972,0.3059
38,38,banded gecko,413,0.0017040273634611972,0.3059
194,194,Dandie Dinmont,412,0.0016999013892155285,0.3416
417,417,balloon,406,0.001675145543741516,0.3007
604,605,iPod,405,0.0016710195694958471,0.3
450,450,bobsled,405,0.0016710195694958471,0.3
522,522,croquet ball,402,0.001658641646758841,0.2978
361,361,skunk,400,0.0016503896982675034,0.2963
721,722,ping-pong ball,400,0.0016503896982675034,0.3003
