,Class,Count,Count Majority
265,toy poodle,0,0
266,miniature poodle,0,0
267,standard poodle,0,0
268,Mexican hairless,1,1
269,timber wolf,0,0
270,white wolf,0,0
271,red wolf,1,1
272,coyote,0,0
273,dingo,0,0
274,dhole,2,2
275,African hunting dog,0,0
276,hyena,0,0
277,red fox,0,0
278,kit fox,0,0
279,Arctic fox,0,0
280,grey fox,0,0
281,tabby,0,0
282,tiger cat,1,1
283,Persian cat,1,1
284,Siamese cat,1,1
285,Egyptian cat,0,0
286,cougar,1,1
287,lynx,1,1
288,leopard,0,0
289,snow leopard,1,1
290,jaguar,0,0
291,lion,1,1
292,tiger,0,0
293,cheetah,0,0
294,brown bear,1,1
295,American black bear,1,1
296,ice bear,1,1
297,sloth bear,0,0
298,mongoose,0,0
299,meerkat,0,0
300,tiger beetle,0,0
301,ladybug,0,0
302,ground beetle,0,0
303,long-horned beetle,1,1
304,leaf beetle,0,0
305,dung beetle,1,1
306,rhinoceros beetle,1,1
307,weevil,0,0
308,fly,1,1
309,bee,0,0
310,ant,1,1
311,grasshopper,0,0
312,cricket,0,0
313,walking stick,1,1
314,cockroach,1,1
315,mantis,0,0
316,cicada,1,1
317,leafhopper,0,0
318,lacewing,1,1
319,dragonfly,0,0
320,damselfly,0,0
321,admiral,1,1
322,ringlet,1,1
323,monarch,1,1
324,cabbage butterfly,1,1
325,sulphur butterfly,0,0
326,lycaenid,1,1
327,starfish,1,1
328,sea urchin,2,2
329,sea cucumber,1,1
330,wood rabbit,0,0
331,hare,0,0
332,Angora,1,1
333,hamster,0,0
334,porcupine,1,1
335,fox squirrel,1,1
336,marmot,0,0
337,beaver,1,1
338,guinea pig,1,1
339,sorrel,1,1
340,zebra,1,1
341,hog,1,1
342,wild boar,0,0
343,warthog,0,0
344,hippopotamus,1,1
345,ox,0,0
346,water buffalo,0,0
347,bison,1,1
348,ram,0,0
349,bighorn,0,0
350,ibex,1,1
351,hartebeest,1,1
352,impala,0,0
353,gazelle,0,0
354,Arabian camel,1,1
355,llama,1,1
356,weasel,0,0
357,mink,1,1
358,polecat,0,0
359,black-footed ferret,0,0
360,otter,0,0
361,skunk,2,1
362,badger,1,1
363,armadillo,1,1
364,three-toed sloth,1,1
365,orangutan,2,1
366,gorilla,1,1
367,chimpanzee,0,0
368,gibbon,0,0
369,siamang,1,1
370,guenon,0,0
371,patas,0,0
372,baboon,1,1
373,macaque,0,0
374,langur,0,0
375,colobus,1,1
376,proboscis monkey,2,2
377,marmoset,1,1
378,capuchin,0,0
379,howler monkey,0,0
380,titi,1,1
381,spider monkey,0,0
382,squirrel monkey,0,0
383,Madagascar cat,0,0
384,indri,0,0
385,Indian elephant,1,1
386,African elephant,0,0
387,lesser panda,1,1
388,giant panda,1,1
389,barracouta,0,0
390,eel,0,0
391,coho,1,1
392,rock beauty,1,1
393,anemone fish,0,0
394,sturgeon,1,1
395,gar,2,1
396,lionfish,1,1
397,puffer,1,1
398,abacus,1,1
399,abaya,1,1
400,academic gown,0,0
401,accordion,1,1
402,acoustic guitar,0,0
403,aircraft carrier,1,1
404,airliner,0,0
405,airship,1,1
406,altar,0,0
407,ambulance,1,1
408,amphibian,1,1
409,analog clock,0,0
410,apiary,2,1
411,apron,1,1
412,ashcan,0,0
413,assault rifle,0,0
414,backpack,1,1
415,bakery,0,0
416,balance beam,0,0
417,balloon,2,1
418,ballpoint,0,0
419,Band Aid,1,1
420,banjo,1,1
421,bannister,0,0
422,barbell,1,1
423,barber chair,0,0
424,barbershop,0,0
425,barn,0,0
426,barometer,1,1
427,barrel,1,1
428,barrow,1,1
429,baseball,1,1
430,basketball,1,1
431,bassinet,0,0
432,bassoon,1,1
433,bathing cap,1,1
434,bath towel,2,2
435,bathtub,0,0
436,beach wagon,0,0
437,beacon,0,0
438,beaker,0,0
439,bearskin,1,1
440,beer bottle,1,1
441,beer glass,1,1
442,bell cote,1,1
443,bib,1,1
444,bicycle-built-for-two,1,1
445,bikini,1,1
446,binder,0,0
447,binoculars,1,1
448,birdhouse,1,1
449,boathouse,0,0
450,bobsled,1,1
451,bolo tie,2,1
452,bonnet,1,1
453,bookcase,0,0
454,bookshop,0,0
455,bottlecap,1,1
456,bow,2,1
457,bow tie,1,1
458,brass,1,1
459,brassiere,1,1
460,breakwater,0,0
461,breastplate,0,0
462,broom,1,1
463,bucket,0,0
464,buckle,1,1
465,bulletproof vest,2,1
466,bullet train,1,1
467,butcher shop,1,1
468,cab,0,0
469,caldron,1,1
470,candle,1,1
471,cannon,1,1
472,canoe,1,0
473,can opener,0,0
474,cardigan,1,1
475,car mirror,1,1
476,carousel,1,1
477,carpenter's kit,1,1
478,carton,1,1
479,car wheel,0,0
480,cash machine,1,1
481,cassette,0,0
482,cassette player,0,0
483,castle,0,0
484,catamaran,0,0
485,CD player,0,0
486,cello,0,0
487,cellular telephone,0,0
488,chain,0,0
489,chainlink fence,0,0
490,chain mail,1,1
491,chain saw,1,1
492,chest,1,1
493,chiffonier,1,1
494,chime,1,1
495,china cabinet,1,1
496,Christmas stocking,1,1
497,church,1,1
498,cinema,1,1
499,cleaver,1,1
500,cliff dwelling,1,1
501,cloak,0,0
502,clog,1,1
503,cocktail shaker,1,1
504,coffee mug,0,0
505,coffeepot,0,0
506,coil,0,0
507,combination lock,2,2
508,computer keyboard,0,0
509,confectionery,0,0
510,container ship,1,1
511,convertible,0,0
512,corkscrew,1,1
513,cornet,0,0
514,cowboy boot,1,1
515,cowboy hat,0,0
516,cradle,0,0
517,crane,1,0
518,crash helmet,2,2
519,crate,1,1
520,crib,0,0
521,Crock Pot,1,1
522,croquet ball,1,1
523,crutch,1,1
524,cuirass,0,0
525,dam,1,1
526,desk,0,0
527,desktop computer,0,0
528,dial telephone,1,1
529,diaper,0,0
530,digital clock,0,0
531,digital watch,0,0
532,dining table,0,0
533,dishrag,1,1
534,dishwasher,2,1
535,disk brake,2,2
536,dock,0,0
537,dogsled,0,0
538,dome,2,2
539,doormat,1,1
540,drilling platform,1,1
541,drum,1,1
542,drumstick,0,0
543,dumbbell,0,0
544,Dutch oven,1,1
545,electric fan,1,1
546,electric guitar,1,1
547,electric locomotive,0,0
548,entertainment center,0,0
549,envelope,0,0
550,espresso maker,1,1
551,face powder,1,1
552,feather boa,1,1
553,file,1,1
554,fireboat,1,1
555,fire engine,0,0
556,fire screen,2,1
557,flagpole,0,0
558,flute,0,0
559,folding chair,1,1
560,football helmet,1,1
561,forklift,1,1
562,fountain,1,1
563,fountain pen,0,0
564,four-poster,1,1
565,freight car,1,1
566,French horn,1,1
567,frying pan,1,1
568,fur coat,1,1
569,garbage truck,1,1
570,gasmask,1,1
571,gas pump,1,1
572,goblet,1,1
573,go-kart,1,1
574,golf ball,1,1
575,golfcart,1,1
576,gondola,1,1
577,gong,1,1
578,gown,0,0
579,grand piano,1,1
