,Class,Count,Count Majority,Count Homogeneous
177,Scottish deerhound,6,6,6
178,Weimaraner,1,1,1
179,Staffordshire bullterrier,11,11,11
180,American Staffordshire terrier,14,14,14
181,Bedlington terrier,1,1,1
182,Border terrier,2,2,2
183,Kerry blue terrier,7,7,7
184,Irish terrier,3,3,3
185,Norfolk terrier,6,6,6
186,Norwich terrier,12,12,12
187,Yorkshire terrier,7,7,7
188,wire-haired fox terrier,15,15,15
189,Lakeland terrier,10,10,10
190,Sealyham terrier,5,5,5
191,Airedale,6,6,6
192,cairn,7,7,7
193,Australian terrier,5,5,5
194,Dandie Dinmont,1,1,1
195,Boston bull,14,14,14
196,miniature schnauzer,11,11,11
197,giant schnauzer,11,11,11
198,standard schnauzer,18,18,18
199,Scotch terrier,1,1,1
200,Tibetan terrier,11,11,11
201,silky terrier,9,9,9
202,soft-coated wheaten terrier,13,13,13
203,West Highland white terrier,13,13,13
204,Lhasa,15,15,15
205,flat-coated retriever,13,13,13
206,curly-coated retriever,5,5,5
207,golden retriever,8,8,8
208,Labrador retriever,18,18,18
209,Chesapeake Bay retriever,6,6,6
210,German short-haired pointer,3,3,3
211,vizsla,6,6,6
212,English setter,1,1,1
213,Irish setter,6,6,6
214,Gordon setter,1,1,1
215,Brittany spaniel,4,4,4
216,clumber,7,7,7
217,English springer,11,11,11
218,Welsh springer spaniel,10,10,10
219,cocker spaniel,4,4,4
220,Sussex spaniel,4,4,4
221,Irish water spaniel,4,4,4
222,kuvasz,3,3,3
223,schipperke,1,1,1
224,groenendael,2,2,2
225,malinois,5,5,5
226,briard,4,3,3
227,kelpie,6,6,6
228,komondor,2,1,1
229,Old English sheepdog,3,3,3
230,Shetland sheepdog,19,19,19
231,collie,10,10,10
232,Border collie,27,27,27
233,Bouvier des Flandres,11,11,11
234,Rottweiler,2,2,2
235,German shepherd,6,6,6
236,Doberman,5,5,5
237,miniature pinscher,16,16,16
238,Greater Swiss Mountain dog,11,11,11
239,Bernese mountain dog,5,5,5
240,Appenzeller,7,7,7
241,EntleBucher,11,11,11
242,boxer,3,3,3
243,bull mastiff,4,4,4
244,Tibetan mastiff,1,1,1
245,French bulldog,7,7,7
246,Great Dane,7,7,7
247,Saint Bernard,2,2,2
248,Eskimo dog,13,13,13
249,malamute,8,7,7
250,Siberian husky,32,32,32
251,dalmatian,1,1,1
252,affenpinscher,10,10,10
253,basenji,2,2,2
254,pug,12,12,12
255,Leonberg,2,2,2
256,Newfoundland,10,10,10
257,Great Pyrenees,8,8,8
258,Samoyed,3,3,3
259,Pomeranian,2,2,2
260,chow,3,3,3
261,keeshond,3,3,3
262,Brabancon griffon,1,1,1
263,Pembroke,25,25,25
264,Cardigan,5,5,5
265,toy poodle,25,25,25
266,miniature poodle,21,21,21
267,standard poodle,20,20,20
268,Mexican hairless,1,1,1
269,timber wolf,21,21,21
270,white wolf,13,13,13
271,red wolf,5,5,5
272,coyote,14,14,14
273,dingo,8,8,8
274,dhole,1,1,1
275,African hunting dog,4,4,4
276,hyena,12,12,12
277,red fox,22,22,22
278,kit fox,9,9,9
279,Arctic fox,12,12,12
280,grey fox,16,16,16
281,tabby,26,26,26
282,tiger cat,10,10,10
283,Persian cat,1,1,1
284,Siamese cat,1,1,1
285,Egyptian cat,4,4,4
286,cougar,1,1,1
287,lynx,2,2,2
288,leopard,7,7,7
289,snow leopard,20,20,20
290,jaguar,8,8,8
291,lion,1,1,1
292,tiger,34,34,34
293,cheetah,3,3,3
