dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
mnist,train,resnet,20,55,a1,0.0,0.0,8.812320175776584,0.9979833333333333,0.9779
mnist,train,resnet,20,80,a1,0.0,0.0,6.749756840532051,0.9990833333333333,0.9777
mnist,trainUval,resnet,20,105,a1,0.0,0.0,9.539205808297524,0.9999166666666667,0.9789
mnist,trainUval,resnet,20,130,a1,0.0,0.0,10.567392305017478,0.99995,0.9795
mnist,trainUval,resnet,20,156,a1,0.0,0.0,9.75817658297617,0.9999833333333333,0.9803
mnist,trainUval,resnet,20,181,a1,0.0,0.0,11.429851312796899,1.0,0.9802
mnist,trainUval,resnet,20,25,a1,0.0,0.0,10.847504625995612,0.9868,0.9717
mnist,trainUval,resnet,20,50,a1,0.0,0.0,8.9441994742837,0.9971833333333333,0.9754
mnist,trainUval,resnet,20,76,a1,0.0,0.0,8.388300087876743,0.9989,0.9779
mnist,val,resnet,20,100,a1,0.0,0.0,9.643556600966285,0.99985,0.9793
mnist,val,resnet,20,126,a1,0.0,0.0,10.436243893156458,0.9999666666666667,0.9793
mnist,val,resnet,20,151,a1,0.0,0.0,9.865045569607346,0.9999666666666667,0.9801
mnist,val,resnet,20,177,a1,0.0,0.0,10.889536459876105,0.9999833333333333,0.9807
mnist,val,resnet,20,20,a1,0.0,0.0,7.640194677069644,0.9839166666666667,0.9712
mnist,val,resnet,20,46,a1,0.0,0.0,8.19973448569855,0.9965833333333334,0.9771
mnist,val,resnet,20,71,a1,0.0,0.0,8.459117790532062,0.9981166666666667,0.9778
mnist,val,resnet,20,97,a1,0.0,0.0,9.183253970642035,0.9998666666666667,0.98
cifar,train,vgg,20,121,a1,0.0,0.0,6.523391731083265,0.99868,0.9116
cifar,train,vgg,20,158,a1,0.0,0.0,9.09540800007062,0.97182,0.885
cifar,train,vgg,20,183,a1,0.0,0.0,12.116367310285405,0.98252,0.8916
cifar,train,vgg,20,27,a1,0.0,0.0,9.60414986343131,0.95516,0.8843
cifar,train,vgg,20,52,a1,0.0,0.0,11.193681865930898,0.97236,0.8869
cifar,train,vgg,20,78,a1,0.0,0.0,11.227467715897575,0.96408,0.8834
