dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
mnist,train,resnet,20,160,a1,1e-06,1e-06,3.1858894000272926,0.9999666666666667,0.9794
mnist,train,resnet,20,186,a1,1e-06,1e-06,0.924043434443611,1.0,0.9797
mnist,train,resnet,20,2,a1,1e-06,1e-06,9.359959746998356,0.9258833333333333,0.9227
mnist,train,resnet,20,55,a1,1e-06,1e-06,8.812286797418437,0.9979833333333333,0.9779
mnist,train,resnet,20,80,a1,1e-06,1e-06,6.749721673991225,0.9990833333333333,0.9777
mnist,trainUval,resnet,20,105,a1,1e-06,1e-06,9.539164085253475,0.9999166666666667,0.9789
mnist,trainUval,resnet,20,130,a1,1e-06,1e-06,10.567361310676354,0.99995,0.9795
mnist,trainUval,resnet,20,156,a1,1e-06,1e-06,9.758139032206607,0.9999833333333333,0.9803
mnist,trainUval,resnet,20,181,a1,1e-06,1e-06,11.429825086836786,1.0,0.9802
mnist,trainUval,resnet,20,25,a1,1e-06,1e-06,10.847488056694857,0.9868,0.9717
mnist,trainUval,resnet,20,50,a1,1e-06,1e-06,8.944161327575927,0.9971833333333333,0.9754
mnist,trainUval,resnet,20,76,a1,1e-06,1e-06,8.388256457604506,0.9989,0.9779
mnist,val,resnet,20,100,a1,1e-06,1e-06,9.643551474977734,0.99985,0.9793
mnist,val,resnet,20,126,a1,1e-06,1e-06,10.436238051903047,0.9999666666666667,0.9793
mnist,val,resnet,20,151,a1,1e-06,1e-06,9.865038297854483,0.9999666666666667,0.9801
mnist,val,resnet,20,177,a1,1e-06,1e-06,10.88952906890814,0.9999833333333333,0.9807
mnist,val,resnet,20,20,a1,1e-06,1e-06,7.640191577751352,0.9839166666666667,0.9712
mnist,val,resnet,20,46,a1,1e-06,1e-06,8.199727929208876,0.9965833333333334,0.9771
mnist,val,resnet,20,71,a1,1e-06,1e-06,8.459111591662442,0.9981166666666667,0.9778
mnist,val,resnet,20,97,a1,1e-06,1e-06,9.183247891019285,0.9998666666666667,0.98
cifar,train,vgg,20,121,a1,1e-06,1e-06,6.5233913734555244,0.99868,0.9116
cifar,train,vgg,20,158,a1,1e-06,1e-06,9.09540800007062,0.97182,0.885
