dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
cifar,train,densenet,20,72,a1,1e-06,1e-06,8.878884631633923,119,235,0.9068,0.8019
cifar,train,densenet,20,3,a1,1e-06,1e-06,21.731516164642017,286,563,0.61074,0.5877
cifar,trainUval,densenet,20,25,a1,1e-06,1e-06,12.055574306111339,141,274,0.91636,0.8159
cifar,trainUval,densenet,20,77,a1,1e-06,1e-06,12.596749614359624,137,268,0.9362,0.8172
cifar,trainUval,densenet,20,39,a1,1e-06,1e-06,11.480289728831622,134,261,0.90312,0.8136
cifar,trainUval,densenet,20,89,a1,1e-06,1e-06,11.130314189051887,132,260,0.96026,0.8383
cifar,val,densenet,20,132,a1,1e-06,1e-06,12.992750882058772,85,168,0.99964,0.8717
cifar,val,densenet,20,151,a1,1e-06,1e-06,10.990819983004712,41,81,0.9184,0.8183
cifar,val,densenet,20,165,a1,1e-06,1e-06,10.887112135570987,44,85,0.9545,0.8387
cifar,val,densenet,20,177,a1,1e-06,1e-06,13.030238953229173,49,95,0.96162,0.8441
mnist,train,resnet,20,191,a1,1e-06,1e-06,0.7718041979766213,47,92,1.0,0.9803
mnist,train,resnet,20,83,a1,1e-06,1e-06,5.9352342891345415,113,223,0.9993333333333333,0.978
mnist,train,resnet,20,80,a1,1e-06,1e-06,6.749721471563248,110,212,0.9990833333333333,0.9777
mnist,train,resnet,20,57,a1,1e-06,1e-06,8.564037370151595,136,266,0.998,0.9773
mnist,trainUval,resnet,20,172,a1,1e-06,1e-06,11.098494873596678,65,128,0.9999833333333333,0.9798
mnist,trainUval,resnet,20,66,a1,1e-06,1e-06,8.229043201270542,149,286,0.99835,0.9775
mnist,trainUval,resnet,20,145,a1,1e-06,1e-06,10.37080293886845,80,159,0.99995,0.9797
mnist,val,resnet,20,70,a1,1e-06,1e-06,8.486233548449377,38,75,0.9982833333333333,0.9778
mnist,val,resnet,20,144,a1,1e-06,1e-06,10.389543659840456,22,43,0.9999666666666667,0.9798
mnist,val,resnet,20,199,a1,1e-06,1e-06,11.266438607424561,19,37,1.0,0.9806
mnist,val,resnet,20,74,a1,1e-06,1e-06,8.785377755741365,32,63,0.99855,0.9782
cifar,train,resnet,20,130,a1,1e-06,1e-06,5.532721627266255,114,224,0.99844,0.8611
cifar,train,resnet,20,22,a1,1e-06,1e-06,10.152271294642787,132,261,0.87082,0.8007
cifar,train,resnet,20,149,a1,1e-06,1e-06,2.430597850081199,133,260,0.99976,0.8636
