dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
cifar,trainUval,densenet,20,147,a1,1e-06,1e-06,13.508199694504356,415,806,0.99986,0.8751
cifar,trainUval,densenet,20,37,a1,1e-06,1e-06,14.243171032858072,148,292,0.89244,0.8095
cifar,trainUval,densenet,20,14,a1,1e-06,1e-06,15.12460048112007,190,372,0.7859,0.7404
cifar,trainUval,densenet,20,159,a1,1e-06,1e-06,15.038384226069866,150,294,0.95474,0.837
cifar,val,densenet,20,123,a1,1e-06,1e-06,13.888097000994094,74,145,0.99754,0.863
cifar,val,densenet,20,100,a1,1e-06,1e-06,12.662985079243072,44,86,0.97136,0.8382
cifar,val,densenet,20,31,a1,1e-06,1e-06,11.16383981999752,55,109,0.85132,0.7809
mnist,train,resnet,20,182,a1,1e-06,1e-06,1.1083999581975377,44,87,1.0,0.9807
mnist,train,resnet,20,117,a1,1e-06,1e-06,4.00697714143007,71,138,0.99995,0.9795
mnist,train,resnet,20,187,a1,1e-06,1e-06,0.9819619414114413,44,87,1.0,0.9805
mnist,train,resnet,20,134,a1,1e-06,1e-06,3.4579939727484543,59,117,0.9999666666666667,0.9796
mnist,trainUval,resnet,20,143,a1,1e-06,1e-06,10.110967140199364,85,165,0.99995,0.9789
mnist,trainUval,resnet,20,18,a1,1e-06,1e-06,10.946055318747653,222,433,0.9826833333333334,0.97
mnist,trainUval,resnet,20,180,a1,1e-06,1e-06,11.281153174605606,58,115,0.9999833333333333,0.9806
mnist,trainUval,resnet,20,155,a1,1e-06,1e-06,10.401104097122015,72,141,0.9999833333333333,0.9801
mnist,val,resnet,20,103,a1,1e-06,1e-06,9.589866130860969,28,54,0.9998833333333333,0.9797
mnist,val,resnet,20,30,a1,1e-06,1e-06,7.551136918895736,54,103,0.9872,0.9723
mnist,val,resnet,20,73,a1,1e-06,1e-06,8.174435571400409,35,69,0.9985333333333334,0.978
mnist,val,resnet,20,109,a1,1e-06,1e-06,9.943928999373156,24,46,0.9999333333333333,0.9797
cifar,train,resnet,20,76,a1,1e-06,1e-06,8.450235238798882,119,234,0.90526,0.8085
cifar,train,resnet,20,197,a1,1e-06,1e-06,8.107781190077048,147,288,0.9712,0.8375
cifar,train,resnet,20,178,a1,1e-06,1e-06,8.35527741192061,130,250,0.9624,0.8409
cifar,train,resnet,20,190,a1,1e-06,1e-06,8.762440703025277,148,293,0.96502,0.8386
cifar,trainUval,resnet,20,13,a1,1e-06,1e-06,11.880476657808913,134,265,0.78374,0.7393
cifar,trainUval,resnet,20,95,a1,1e-06,1e-06,14.511381706975271,106,211,0.94208,0.8259
cifar,trainUval,resnet,20,136,a1,1e-06,1e-06,14.994503586770293,129,250,0.99926,0.8641
cifar,trainUval,resnet,20,184,a1,1e-06,1e-06,12.02796647833668,161,319,0.96388,0.8349
cifar,val,resnet,20,139,a1,1e-06,1e-06,14.941616089239801,47,92,0.99954,0.8657
cifar,val,resnet,20,51,a1,1e-06,1e-06,13.894656989535292,54,104,0.94496,0.8337
cifar,val,resnet,20,153,a1,1e-06,1e-06,10.706317286584635,40,78,0.92772,0.8103
cifar,val,resnet,20,113,a1,1e-06,1e-06,15.71412181456708,35,69,0.97938,0.8427
mnist,train,densenet,20,101,a1,1e-06,1e-06,9.316988197963497,139,269,0.99825,0.971
mnist,train,densenet,20,38,a1,1e-06,1e-06,9.115342028345594,163,314,0.9772,0.9627
mnist,train,densenet,20,127,a1,1e-06,1e-06,8.518051832639458,126,247,0.9992666666666666,0.9722
mnist,train,densenet,20,54,a1,1e-06,1e-06,9.259162095273155,161,308,0.9870333333333333,0.9671
mnist,trainUval,densenet,20,63,a1,1e-06,1e-06,9.333531824451484,186,356,0.9891666666666666,0.9686
mnist,trainUval,densenet,20,2,a1,1e-06,1e-06,40.75446438603103,619,1170,0.77425,0.7716
mnist,trainUval,densenet,20,156,a1,1e-06,1e-06,9.16325769361174,137,265,0.9994833333333333,0.9724
mnist,trainUval,densenet,20,92,a1,1e-06,1e-06,9.327256811995085,155,299,0.9969833333333333,0.9706
mnist,val,densenet,20,96,a1,1e-06,1e-06,9.281316233705297,43,83,0.99755,0.9712
mnist,val,densenet,20,179,a1,1e-06,1e-06,9.359852708330436,35,65,0.9998833333333333,0.9725
mnist,val,densenet,20,88,a1,1e-06,1e-06,8.633722097356895,43,82,0.9960166666666667,0.9708
mnist,val,densenet,20,56,a1,1e-06,1e-06,9.103136853642809,51,98,0.9882,0.9671
cifar,train,densenet,20,128,a1,1e-06,1e-06,6.463861717028749,323,633,0.9988,0.8644
cifar,train,densenet,20,52,a1,1e-06,1e-06,6.4857255750436025,112,222,0.9701,0.8381
cifar,train,densenet,20,47,a1,1e-06,1e-06,8.731551496731981,145,284,0.93888,0.8214
cifar,train,densenet,20,67,a1,1e-06,1e-06,4.639141596563263,111,218,0.99722,0.8496
cifar,trainUval,densenet,20,19,a1,1e-06,1e-06,9.86734001279774,160,310,0.84888,0.7799
cifar,trainUval,densenet,20,79,a1,1e-06,1e-06,13.075313555657772,130,255,0.94572,0.8322
cifar,trainUval,densenet,20,200,a1,1e-06,1e-06,11.278882838090567,192,377,0.97902,0.8529
cifar,trainUval,densenet,20,35,a1,1e-06,1e-06,11.890361696631885,156,307,0.8837,0.8021
cifar,val,densenet,20,189,a1,1e-06,1e-06,11.60731557505187,46,91,0.97012,0.8489
cifar,val,densenet,20,15,a1,1e-06,1e-06,12.758918048527448,57,111,0.79922,0.7518
cifar,val,densenet,20,43,a1,1e-06,1e-06,13.63845279192742,46,89,0.9147,0.8148
mnist,train,resnet,20,16,a1,1e-06,1e-06,11.278467527854673,203,397,0.9793166666666666,0.9675
mnist,train,resnet,20,119,a1,1e-06,1e-06,3.882763891747004,65,128,0.9999333333333333,0.9797
mnist,train,resnet,20,20,a1,1e-06,1e-06,11.726359795625854,203,398,0.9839166666666667,0.9712
mnist,train,resnet,20,104,a1,1e-06,1e-06,4.334598265327259,84,163,0.9999,0.979
mnist,trainUval,resnet,20,65,a1,1e-06,1e-06,8.527321906708153,136,263,0.9981666666666666,0.9779
mnist,trainUval,resnet,20,150,a1,1e-06,1e-06,9.700056584879917,70,135,0.9999666666666667,0.9797
mnist,trainUval,resnet,20,34,a1,1e-06,1e-06,10.55332858535121,219,427,0.9902833333333333,0.9741
mnist,trainUval,resnet,20,106,a1,1e-06,1e-06,9.637914012187252,86,166,0.9999,0.979
mnist,val,resnet,20,193,a1,1e-06,1e-06,10.823914903368404,21,41,1.0,0.9808
mnist,val,resnet,20,141,a1,1e-06,1e-06,10.704079327511408,25,49,0.99995,0.9799
mnist,val,resnet,20,27,a1,1e-06,1e-06,7.350735902464294,54,104,0.9873833333333333,0.9723
mnist,val,resnet,20,33,a1,1e-06,1e-06,7.793513150875924,49,97,0.9891666666666666,0.9736
cifar,train,resnet,20,173,a1,1e-06,1e-06,9.127020284626724,118,233,0.94298,0.8218
cifar,train,resnet,20,115,a1,1e-06,1e-06,5.715648871320241,77,152,0.9851,0.8507
cifar,train,resnet,20,195,a1,1e-06,1e-06,7.312915403845182,151,298,0.969,0.8438
cifar,train,resnet,20,9,a1,1e-06,1e-06,10.93779263009128,131,261,0.80186,0.753
cifar,trainUval,resnet,20,26,a1,1e-06,1e-06,13.204710074842524,160,314,0.90542,0.8156
cifar,trainUval,resnet,20,5,a1,1e-06,1e-06,18.403647073211687,173,340,0.7174,0.6906
cifar,trainUval,resnet,20,75,a1,1e-06,1e-06,11.578217582240313,132,256,0.90472,0.8152
cifar,trainUval,resnet,20,166,a1,1e-06,1e-06,11.711287238414116,100,196,0.93758,0.8237
cifar,val,resnet,20,124,a1,1e-06,1e-06,14.040983232931694,41,81,0.99494,0.8561
cifar,val,resnet,20,194,a1,1e-06,1e-06,12.764959286880185,48,93,0.97408,0.8458
cifar,val,resnet,20,170,a1,1e-06,1e-06,11.126744697949789,45,89,0.95514,0.8384
cifar,val,resnet,20,78,a1,1e-06,1e-06,13.593573020997951,43,84,0.90842,0.8159
mnist,train,densenet,20,94,a1,1e-06,1e-06,9.162601461198506,149,289,0.9972,0.9711
mnist,train,densenet,20,7,a1,1e-06,1e-06,11.810105635187938,205,393,0.8998333333333334,0.8965
mnist,train,densenet,20,125,a1,1e-06,1e-06,8.613885074915743,132,255,0.9991666666666666,0.9721
mnist,train,densenet,20,140,a1,1e-06,1e-06,8.158052366312745,115,226,0.9992833333333333,0.972
mnist,trainUval,densenet,20,131,a1,1e-06,1e-06,8.974096086109284,135,262,0.9992666666666666,0.9717
mnist,trainUval,densenet,20,4,a1,1e-06,1e-06,13.299409008584917,289,549,0.87005,0.8676
mnist,trainUval,densenet,20,167,a1,1e-06,1e-06,9.851867035953205,109,206,0.9998166666666667,0.972
mnist,trainUval,densenet,20,68,a1,1e-06,1e-06,9.242710310017173,175,336,0.9890666666666666,0.9681
mnist,val,densenet,20,137,a1,1e-06,1e-06,8.919216651645911,47,89,0.9993333333333333,0.9716
mnist,val,densenet,20,64,a1,1e-06,1e-06,9.162881557837977,48,93,0.9893,0.9679
mnist,val,densenet,20,171,a1,1e-06,1e-06,9.946759734334364,34,66,0.99985,0.9727
mnist,val,densenet,20,174,a1,1e-06,1e-06,9.525979293853993,34,67,0.9998833333333333,0.9723
cifar,train,densenet,20,60,a1,1e-06,1e-06,5.491865952126545,130,254,0.99144,0.848
cifar,train,densenet,20,87,a1,1e-06,1e-06,9.59279797191084,130,256,0.94614,0.8294
cifar,train,densenet,20,55,a1,1e-06,1e-06,7.316665639432017,106,210,0.97576,0.8387
cifar,train,densenet,20,21,a1,1e-06,1e-06,10.35498114041593,151,299,0.8744,0.7935
cifar,trainUval,densenet,20,99,a1,1e-06,1e-06,11.149262763530032,180,352,0.97314,0.8407
cifar,trainUval,densenet,20,81,a1,1e-06,1e-06,11.787263939822992,143,280,0.94396,0.8272
cifar,trainUval,densenet,20,138,a1,1e-06,1e-06,13.568409108137075,389,757,0.99978,0.872
cifar,trainUval,densenet,20,12,a1,1e-06,1e-06,12.397199355161547,194,383,0.74626,0.7048
cifar,val,densenet,20,49,a1,1e-06,1e-06,10.795664123184679,42,83,0.94834,0.8297
cifar,val,densenet,20,36,a1,1e-06,1e-06,13.910428146578624,50,98,0.86354,0.788
cifar,val,densenet,20,6,a1,1e-06,1e-06,12.35661897465252,67,132,0.74142,0.7053
mnist,train,resnet,20,42,a1,1e-06,1e-06,10.167267181724696,163,318,0.9953666666666666,0.9755
mnist,train,resnet,20,93,a1,1e-06,1e-06,4.960506630174109,100,195,0.9997833333333334,0.9784
mnist,train,resnet,20,28,a1,1e-06,1e-06,10.788781337090768,179,344,0.9869666666666667,0.9722
mnist,train,resnet,20,129,a1,1e-06,1e-06,3.676263961079144,71,140,0.99995,0.9786
mnist,trainUval,resnet,20,181,a1,1e-06,1e-06,11.429824633016437,62,119,1.0,0.9802
mnist,trainUval,resnet,20,135,a1,1e-06,1e-06,10.438803115842575,78,154,0.9999666666666667,0.9798
mnist,trainUval,resnet,20,29,a1,1e-06,1e-06,10.798645193119341,193,377,0.9871333333333333,0.9715
mnist,trainUval,resnet,20,110,a1,1e-06,1e-06,9.950608618978436,80,158,0.99995,0.9798
mnist,val,resnet,20,114,a1,1e-06,1e-06,9.963535045879098,26,51,0.9999333333333333,0.9799
mnist,val,resnet,20,158,a1,1e-06,1e-06,10.242553489938473,26,51,0.9999833333333333,0.9788
mnist,val,resnet,20,58,a1,1e-06,1e-06,8.06422997344896,39,76,0.9981166666666667,0.9773
mnist,val,resnet,20,157,a1,1e-06,1e-06,10.985090092473683,26,50,0.9999666666666667,0.9796
cifar,train,resnet,20,169,a1,1e-06,1e-06,7.487530283811111,101,199,0.95212,0.8358
cifar,train,resnet,20,148,a1,1e-06,1e-06,3.342344067567865,132,259,0.99978,0.8649
cifar,train,resnet,20,176,a1,1e-06,1e-06,7.125260677481151,138,268,0.96224,0.8383
cifar,train,resnet,20,126,a1,1e-06,1e-06,6.956913436530954,113,225,0.9937,0.8538
cifar,trainUval,resnet,20,32,a1,1e-06,1e-06,11.820186517744332,163,320,0.82304,0.7648
cifar,trainUval,resnet,20,142,a1,1e-06,1e-06,14.66812195383477,134,264,0.99974,0.8637
cifar,trainUval,resnet,20,108,a1,1e-06,1e-06,14.706580040083281,94,186,0.96994,0.8395
cifar,trainUval,resnet,20,85,a1,1e-06,1e-06,12.749891962011588,148,290,0.9331,0.8219
cifar,val,resnet,20,122,a1,1e-06,1e-06,13.67741797561257,39,77,0.9925,0.852
cifar,val,resnet,20,118,a1,1e-06,1e-06,14.941555565617705,47,90,0.9841,0.8455
cifar,val,resnet,20,112,a1,1e-06,1e-06,13.298299341274515,43,84,0.97914,0.8422
cifar,val,resnet,20,48,a1,1e-06,1e-06,12.709034242333473,49,96,0.92014,0.8236
mnist,train,densenet,20,160,a1,1e-06,1e-06,7.5929908878060814,117,228,0.9996333333333334,0.9725
mnist,train,densenet,20,152,a1,1e-06,1e-06,8.975906569744552,117,229,0.9993833333333333,0.9729
mnist,train,densenet,20,185,a1,1e-06,1e-06,5.2612485239009175,93,180,0.9999166666666667,0.9729
mnist,train,densenet,20,102,a1,1e-06,1e-06,9.258413660824544,147,286,0.99825,0.9716
mnist,trainUval,densenet,20,11,a1,1e-06,1e-06,10.707097914812039,217,422,0.91725,0.9115
mnist,trainUval,densenet,20,44,a1,1e-06,1e-06,9.637272218364615,195,368,0.9829833333333333,0.9651
mnist,trainUval,densenet,20,72,a1,1e-06,1e-06,9.304929223779482,184,350,0.9905,0.9678
mnist,trainUval,densenet,20,3,a1,1e-06,1e-06,17.695975710754283,386,733,0.84265,0.8433
mnist,val,densenet,20,25,a1,1e-06,1e-06,9.350521634114557,38,73,0.9642666666666667,0.9539
mnist,val,densenet,20,77,a1,1e-06,1e-06,9.12060349638432,51,97,0.99245,0.97
mnist,val,densenet,20,39,a1,1e-06,1e-06,9.436988846915256,42,82,0.9780333333333333,0.9628
mnist,val,densenet,20,89,a1,1e-06,1e-06,8.636047978556007,48,93,0.9963833333333333,0.9711
cifar,train,densenet,20,132,a1,1e-06,1e-06,3.9961718580373145,361,694,0.99964,0.8717
cifar,train,densenet,20,151,a1,1e-06,1e-06,8.498669355787683,91,177,0.9184,0.8183
cifar,train,densenet,20,165,a1,1e-06,1e-06,8.353141902087145,133,263,0.9545,0.8387
cifar,train,densenet,20,177,a1,1e-06,1e-06,7.552263350458588,149,293,0.96162,0.8441
cifar,trainUval,densenet,20,191,a1,1e-06,1e-06,12.400181569867186,169,331,0.975,0.8445
cifar,trainUval,densenet,20,83,a1,1e-06,1e-06,13.112606941782133,133,262,0.93724,0.8218
cifar,trainUval,densenet,20,80,a1,1e-06,1e-06,12.378929105407678,168,331,0.94158,0.8296
cifar,trainUval,densenet,20,57,a1,1e-06,1e-06,13.11130591906226,134,266,0.98502,0.8416
cifar,val,densenet,20,172,a1,1e-06,1e-06,12.484841081703735,41,81,0.9656,0.8432
cifar,val,densenet,20,66,a1,1e-06,1e-06,14.011569498526569,40,78,0.99666,0.8494
cifar,val,densenet,20,145,a1,1e-06,1e-06,13.52546760569976,86,170,0.99992,0.8738
mnist,train,resnet,20,70,a1,1e-06,1e-06,8.328280993113935,138,267,0.9982833333333333,0.9778
mnist,train,resnet,20,144,a1,1e-06,1e-06,3.622342053219768,70,135,0.9999666666666667,0.9798
mnist,train,resnet,20,199,a1,1e-06,1e-06,0.6840444863399853,49,95,1.0,0.9806
mnist,train,resnet,20,74,a1,1e-06,1e-06,7.754320376677583,125,244,0.99855,0.9782
mnist,trainUval,resnet,20,130,a1,1e-06,1e-06,10.56736167484803,77,151,0.99995,0.9795
mnist,trainUval,resnet,20,22,a1,1e-06,1e-06,11.575846667541441,227,441,0.9859,0.9728
mnist,trainUval,resnet,20,149,a1,1e-06,1e-06,10.01222783602941,67,131,0.99995,0.9802
mnist,trainUval,resnet,20,53,a1,1e-06,1e-06,8.569644695801912,158,309,0.9976166666666667,0.9767
mnist,val,resnet,20,111,a1,1e-06,1e-06,9.78440757874273,25,49,0.99995,0.9797
mnist,val,resnet,20,188,a1,1e-06,1e-06,11.057274457331687,20,39,1.0,0.9806
mnist,val,resnet,20,90,a1,1e-06,1e-06,9.281874330356459,32,61,0.9996833333333334,0.9786
mnist,val,resnet,20,62,a1,1e-06,1e-06,8.37869011998714,40,78,0.9982833333333333,0.9774
cifar,train,resnet,20,107,a1,1e-06,1e-06,7.864937840933635,81,160,0.96778,0.8374
cifar,train,resnet,20,97,a1,1e-06,1e-06,8.20893501213186,118,233,0.9525,0.8302
cifar,train,resnet,20,175,a1,1e-06,1e-06,8.245659875992715,137,266,0.95466,0.8308
cifar,train,resnet,20,133,a1,1e-06,1e-06,4.181898156436546,121,239,0.9989,0.8612
cifar,trainUval,resnet,20,192,a1,1e-06,1e-06,12.109740201110753,166,321,0.96678,0.8361
cifar,trainUval,resnet,20,120,a1,1e-06,1e-06,14.987163640512449,94,186,0.98932,0.8506
cifar,trainUval,resnet,20,196,a1,1e-06,1e-06,12.39925287425524,166,324,0.96906,0.8413
cifar,trainUval,resnet,20,8,a1,1e-06,1e-06,11.263595304946648,150,297,0.78842,0.7501
cifar,val,resnet,20,147,a1,1e-06,1e-06,14.411610912828223,54,106,0.99978,0.8655
cifar,val,resnet,20,37,a1,1e-06,1e-06,13.018666177901423,63,122,0.86702,0.7961
cifar,val,resnet,20,14,a1,1e-06,1e-06,9.529502684861654,48,95,0.77578,0.7448
cifar,val,resnet,20,159,a1,1e-06,1e-06,10.94022046618295,45,89,0.94368,0.829
mnist,train,densenet,20,103,a1,1e-06,1e-06,9.278258386449352,146,281,0.9984166666666666,0.9709
mnist,train,densenet,20,30,a1,1e-06,1e-06,8.89876850098426,146,280,0.9648333333333333,0.9542
mnist,train,densenet,20,73,a1,1e-06,1e-06,9.234102335377997,156,300,0.9904833333333334,0.968
mnist,train,densenet,20,109,a1,1e-06,1e-06,9.271003428697213,143,274,0.9986666666666667,0.9722
mnist,trainUval,densenet,20,76,a1,1e-06,1e-06,9.527451983232936,189,363,0.9921166666666666,0.9695
mnist,trainUval,densenet,20,197,a1,1e-06,1e-06,9.668405333219539,94,181,0.99995,0.9729
mnist,trainUval,densenet,20,178,a1,1e-06,1e-06,9.240436286216095,110,214,0.9999,0.9719
mnist,trainUval,densenet,20,190,a1,1e-06,1e-06,9.48220481676708,97,188,0.99995,0.9723
mnist,val,densenet,20,13,a1,1e-06,1e-06,9.112610538111767,38,74,0.9338333333333333,0.9282
mnist,val,densenet,20,95,a1,1e-06,1e-06,8.73486911307873,49,92,0.9974,0.9716
mnist,val,densenet,20,136,a1,1e-06,1e-06,9.232556982652568,40,77,0.9993333333333333,0.9716
mnist,val,densenet,20,184,a1,1e-06,1e-06,10.08901638085581,32,62,0.9999166666666667,0.9727
cifar,train,densenet,20,139,a1,1e-06,1e-06,2.7526307944599466,390,753,0.99984,0.8728
cifar,train,densenet,20,51,a1,1e-06,1e-06,7.035990001622054,111,217,0.96086,0.8322
cifar,train,densenet,20,153,a1,1e-06,1e-06,7.6949378781467885,122,241,0.9322,0.8241
cifar,train,densenet,20,113,a1,1e-06,1e-06,6.190040628883253,181,355,0.9916,0.8591
cifar,trainUval,densenet,20,168,a1,1e-06,1e-06,11.746215645270922,151,298,0.95934,0.8445
cifar,trainUval,densenet,20,161,a1,1e-06,1e-06,11.327328853288236,155,304,0.96078,0.846
cifar,trainUval,densenet,20,105,a1,1e-06,1e-06,13.558266095803901,179,349,0.98298,0.8492
cifar,trainUval,densenet,20,46,a1,1e-06,1e-06,11.274885074289273,141,279,0.93342,0.8226
cifar,val,densenet,20,24,a1,1e-06,1e-06,12.018168494502788,48,95,0.90872,0.8084
cifar,val,densenet,20,40,a1,1e-06,1e-06,11.518950957818788,39,77,0.8937,0.8059
cifar,val,densenet,20,121,a1,1e-06,1e-06,13.435040327940442,69,132,0.99748,0.8646
mnist,train,resnet,20,71,a1,1e-06,1e-06,8.772249284381473,129,253,0.9981166666666667,0.9778
mnist,train,resnet,20,17,a1,1e-06,1e-06,11.19028760706658,198,386,0.9810333333333333,0.9701
mnist,train,resnet,20,1,a1,1e-06,1e-06,10.781310312158894,242,472,0.8846333333333334,0.883
mnist,train,resnet,20,183,a1,1e-06,1e-06,1.0766799543356456,42,82,1.0,0.9794
mnist,trainUval,resnet,20,101,a1,1e-06,1e-06,9.499975196613605,87,173,0.9998666666666667,0.9797
mnist,trainUval,resnet,20,38,a1,1e-06,1e-06,10.08617877786321,187,368,0.9931833333333333,0.9743
mnist,trainUval,resnet,20,127,a1,1e-06,1e-06,10.450637967175908,69,131,0.9999666666666667,0.9796
mnist,trainUval,resnet,20,54,a1,1e-06,1e-06,8.38964156738382,155,300,0.9978,0.9766
mnist,val,resnet,20,63,a1,1e-06,1e-06,7.935404127961419,37,70,0.9983,0.9771
mnist,val,resnet,20,2,a1,1e-06,1e-06,8.844688777848205,58,113,0.9258833333333333,0.9227
mnist,val,resnet,20,156,a1,1e-06,1e-06,9.793185013231891,26,50,0.9999833333333333,0.9803
mnist,val,resnet,20,92,a1,1e-06,1e-06,9.216433900487687,28,55,0.9997833333333334,0.9793
cifar,train,resnet,20,96,a1,1e-06,1e-06,9.759066488053008,80,159,0.94706,0.8285
cifar,train,resnet,20,179,a1,1e-06,1e-06,7.69954108731838,118,233,0.949,0.8277
cifar,train,resnet,20,88,a1,1e-06,1e-06,8.860325988059572,122,240,0.93192,0.8212
cifar,train,resnet,20,56,a1,1e-06,1e-06,6.992898216125354,84,167,0.96268,0.8421
cifar,trainUval,resnet,20,128,a1,1e-06,1e-06,14.559867202027021,119,235,0.99734,0.8602
cifar,trainUval,resnet,20,52,a1,1e-06,1e-06,12.407456848809716,120,235,0.9421,0.8259
cifar,trainUval,resnet,20,47,a1,1e-06,1e-06,11.765584542750616,134,265,0.92164,0.828
cifar,trainUval,resnet,20,67,a1,1e-06,1e-06,18.247276437974392,51,101,0.98868,0.8434
cifar,val,resnet,20,19,a1,1e-06,1e-06,10.504093708825621,49,97,0.84254,0.791
cifar,val,resnet,20,79,a1,1e-06,1e-06,13.914609410061303,50,98,0.91346,0.8118
cifar,val,resnet,20,200,a1,1e-06,1e-06,13.29815736413002,52,103,0.96938,0.8365
cifar,val,resnet,20,35,a1,1e-06,1e-06,10.500479239754668,46,90,0.855,0.7924
mnist,train,densenet,20,193,a1,1e-06,1e-06,4.530823698355334,87,167,0.99995,0.9717
mnist,train,densenet,20,141,a1,1e-06,1e-06,8.133804328301949,125,243,0.9993,0.972
mnist,train,densenet,20,27,a1,1e-06,1e-06,8.742973638452895,163,315,0.9648333333333333,0.9546
mnist,train,densenet,20,33,a1,1e-06,1e-06,9.175839708319472,158,306,0.97075,0.9585
mnist,trainUval,densenet,20,173,a1,1e-06,1e-06,9.619727404625905,116,225,0.9998833333333333,0.9724
mnist,trainUval,densenet,20,115,a1,1e-06,1e-06,8.878464915914492,153,295,0.9990333333333333,0.9717
mnist,trainUval,densenet,20,195,a1,1e-06,1e-06,9.69102738591721,105,204,0.9999666666666667,0.9724
mnist,trainUval,densenet,20,9,a1,1e-06,1e-06,11.39658051992592,235,445,0.9043166666666667,0.8994
mnist,val,densenet,20,26,a1,1e-06,1e-06,9.274447976864394,38,74,0.96415,0.9537
mnist,val,densenet,20,5,a1,1e-06,1e-06,8.22357052465668,54,105,0.8853,0.8805
mnist,val,densenet,20,75,a1,1e-06,1e-06,9.24410610563882,50,95,0.9917166666666667,0.9687
mnist,val,densenet,20,166,a1,1e-06,1e-06,9.590653609815945,40,75,0.9997333333333334,0.9726
cifar,train,densenet,20,124,a1,1e-06,1e-06,4.162011799357629,309,606,0.99802,0.8665
cifar,train,densenet,20,194,a1,1e-06,1e-06,8.414673094044929,169,331,0.97604,0.851
cifar,train,densenet,20,170,a1,1e-06,1e-06,9.025659313548545,162,316,0.9564,0.8331
cifar,train,densenet,20,78,a1,1e-06,1e-06,8.065085785654333,115,224,0.94072,0.8333
cifar,trainUval,densenet,20,84,a1,1e-06,1e-06,11.642974503269443,152,296,0.9396,0.8237
cifar,trainUval,densenet,20,50,a1,1e-06,1e-06,12.110629082453102,125,246,0.94478,0.8269
cifar,trainUval,densenet,20,61,a1,1e-06,1e-06,12.933995094572538,123,242,0.99364,0.8484
cifar,val,densenet,20,162,a1,1e-06,1e-06,12.814298337082619,40,78,0.95344,0.8347
cifar,val,densenet,20,98,a1,1e-06,1e-06,13.263635442123359,49,94,0.97412,0.846
cifar,val,densenet,20,198,a1,1e-06,1e-06,12.164975466362648,60,116,0.97122,0.8468
cifar,val,densenet,20,86,a1,1e-06,1e-06,14.438968491885475,40,79,0.93656,0.8246
mnist,train,resnet,20,146,a1,1e-06,1e-06,3.61541104131436,61,120,0.99995,0.9796
mnist,train,resnet,20,82,a1,1e-06,1e-06,5.86760923596114,100,195,0.99925,0.9789
mnist,train,resnet,20,69,a1,1e-06,1e-06,8.201861763366423,144,278,0.9984333333333333,0.9772
mnist,train,resnet,20,154,a1,1e-06,1e-06,3.35080011706782,67,129,0.99995,0.9802
mnist,trainUval,resnet,20,94,a1,1e-06,1e-06,9.03510607418093,81,160,0.99975,0.9782
mnist,trainUval,resnet,20,7,a1,1e-06,1e-06,11.999924593260857,210,401,0.9605333333333334,0.9557
mnist,trainUval,resnet,20,125,a1,1e-06,1e-06,10.160970923388959,70,135,0.99995,0.9803
mnist,trainUval,resnet,20,140,a1,1e-06,1e-06,10.063888778770888,80,156,0.99995,0.9802
mnist,val,resnet,20,131,a1,1e-06,1e-06,11.136769885736953,27,53,0.99995,0.9795
mnist,val,resnet,20,4,a1,1e-06,1e-06,7.567968711296999,57,111,0.9503166666666667,0.9468
mnist,val,resnet,20,167,a1,1e-06,1e-06,10.784237843443634,24,47,0.9999833333333333,0.9802
mnist,val,resnet,20,68,a1,1e-06,1e-06,8.309775050911185,37,73,0.9982,0.9776
cifar,train,resnet,20,137,a1,1e-06,1e-06,2.6096445985413084,135,263,0.99934,0.8636
cifar,train,resnet,20,64,a1,1e-06,1e-06,8.389973727835581,51,101,0.98522,0.8418
cifar,train,resnet,20,171,a1,1e-06,1e-06,7.951895978532434,120,233,0.95538,0.8321
cifar,train,resnet,20,174,a1,1e-06,1e-06,8.650225452354448,142,277,0.94108,0.8231
cifar,trainUval,resnet,20,60,a1,1e-06,1e-06,17.029673435369318,75,149,0.97698,0.8435
cifar,trainUval,resnet,20,87,a1,1e-06,1e-06,13.917048805890659,120,238,0.932,0.8197
cifar,trainUval,resnet,20,55,a1,1e-06,1e-06,14.57033070474813,119,233,0.95898,0.8337
cifar,trainUval,resnet,20,21,a1,1e-06,1e-06,10.943245955859993,147,290,0.86588,0.8002
cifar,val,resnet,20,99,a1,1e-06,1e-06,12.571745855291965,39,74,0.95556,0.8324
cifar,val,resnet,20,81,a1,1e-06,1e-06,13.309672360921468,48,92,0.91838,0.8128
cifar,val,resnet,20,138,a1,1e-06,1e-06,14.71802011833563,47,90,0.99948,0.8659
cifar,val,resnet,20,12,a1,1e-06,1e-06,15.32129380684637,44,87,0.74782,0.7113
mnist,train,densenet,20,114,a1,1e-06,1e-06,8.682481352677996,132,254,0.9989666666666667,0.9715
mnist,train,densenet,20,158,a1,1e-06,1e-06,7.944081614189827,105,205,0.9995666666666667,0.973
mnist,train,densenet,20,58,a1,1e-06,1e-06,9.311215339312184,156,297,0.9885,0.9669
mnist,train,densenet,20,157,a1,1e-06,1e-06,8.098459806533924,109,210,0.9996333333333334,0.972
mnist,trainUval,densenet,20,169,a1,1e-06,1e-06,9.67486058882821,118,225,0.9998333333333334,0.9721
mnist,trainUval,densenet,20,148,a1,1e-06,1e-06,9.337301634019468,144,279,0.9993333333333333,0.9722
