15,20,25,30,35,40,45,60,80
0.000000000000000000e+00,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02,4.840024560689919209e-02
4.840024560689919209e-02,0.000000000000000000e+00,1.503903046682351051e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02
4.840024560689919209e-02,1.503903046682351051e-02,0.000000000000000000e+00,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.339415997266744429e-02
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,0.000000000000000000e+00,2.605660818517161262e-03,2.924463711679030353e-03,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.605660818517161262e-03,0.000000000000000000e+00,2.657147124409630495e-03,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,2.924463711679030353e-03,2.657147124409630495e-03,0.000000000000000000e+00,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03,0.000000000000000000e+00,2.349220216274299639e-03,3.170638345181900353e-03
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03,2.349220216274299639e-03,0.000000000000000000e+00,2.194706816226244840e-03
4.840024560689919209e-02,2.339415997266744429e-02,2.339415997266744429e-02,8.611094206571544285e-03,8.611094206571544285e-03,8.611094206571544285e-03,3.170638345181900353e-03,2.194706816226244840e-03,0.000000000000000000e+00
