15,20,25,30,35,40,45,60,80
0.000000000000000000e+00,9.532652796337949541e-03,1.049255020916460036e-02,1.175174585705461745e-02,1.550044119358059622e-02,1.703077928436868074e-02,1.703077928436868074e-02,1.703077928436868074e-02,1.703077928436868074e-02
9.532652796337949541e-03,0.000000000000000000e+00,6.045542657375299264e-03,8.009213954210199840e-03,1.175174585705461745e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02
1.049255020916460036e-02,6.045542657375299264e-03,0.000000000000000000e+00,1.963671296834900576e-03,1.175174585705461745e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02
1.175174585705461745e-02,8.009213954210199840e-03,1.963671296834900576e-03,0.000000000000000000e+00,1.175174585705461745e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02
1.550044119358059622e-02,1.175174585705461745e-02,1.175174585705461745e-02,1.175174585705461745e-02,0.000000000000000000e+00,7.509913295507401540e-03,8.527185767889000276e-03,9.278591751808567753e-03,9.278591751808567753e-03
1.703077928436868074e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,7.509913295507401540e-03,0.000000000000000000e+00,2.773452084511519346e-03,4.616982304582959926e-03,4.949836992068411788e-03
1.703077928436868074e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,8.527185767889000276e-03,2.773452084511519346e-03,0.000000000000000000e+00,2.738111652433900846e-03,3.131985431537029959e-03
1.703077928436868074e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,9.278591751808567753e-03,4.616982304582959926e-03,2.738111652433900846e-03,0.000000000000000000e+00,9.454945102333996501e-04
1.703077928436868074e-02,1.388814766824000499e-02,1.388814766824000499e-02,1.388814766824000499e-02,9.278591751808567753e-03,4.949836992068411788e-03,3.131985431537029959e-03,9.454945102333996501e-04,0.000000000000000000e+00
