Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
2.0026691345265135e-05,0,-0.0,0.20247989654541015,minima-saddle,3.194758028257638e-05,9910,0.41342079639434814,3,4097,0.5737
2.0026691345265135e-05,1,-0.0,0.20247989654541015,minima-saddle,4.8874615458771586e-05,6950,0.5267626047134399,8,3661,0.5364
2.0026691345265135e-05,2,-0.0,0.20247989654541015,minima-saddle,6.258291978156194e-05,3744,1.0,4,3744,0.5487
2.0026691345265135e-05,3,3.576278118089249e-07,0.20248025417322196,minima-saddle,2.3960770704434253e-05,987,1.0,1,987,0.1253
2.0026691345265135e-05,4,-0.0,0.20247989654541015,minima-saddle,3.373566141817719e-05,1584,1.0,5,1584,0.2509
2.0026691345265135e-05,5,-0.0,0.20247989654541015,minima-saddle,3.194758028257638e-05,1462,1.0,6,1462,0.2126
2.0026691345265135e-05,6,-0.0,0.20247989654541015,minima-saddle,0.00010334911348763853,3561,1.0,0,3561,0.5159
2.0026691345265135e-05,7,-0.0,0.20247989654541015,minima-saddle,6.222531374078244e-05,3239,1.0,7,3239,0.4441
2.0026691345265135e-05,8,6.222531374078244e-05,0.20254212185915094,saddle-saddle,3.576060407795012e-07,28,0.1785714328289032,3,5,0.0007
2.0026691345265135e-05,9,1.4305104514278355e-06,0.20248132705586158,minima-saddle,2.2887888917466626e-05,166,1.0,1,166,0.0211
2.0026691345265135e-05,10,3.373566141817719e-05,0.20251363220682833,saddle-saddle,1.5138954040594399e-05,1081,0.2960222065448761,2,320,0.0458
2.0026691345265135e-05,11,0.00010334911348763853,10.12409782409668,saddle-maxima,10.123994827270508,30200,0.1316225230693817,1,3975,0.5046
2.0026691345265135e-05,12,4.8874615458771586e-05,0.20252877116086893,saddle-saddle,1.3350698282010853e-05,1097,0.18869644403457642,9,207,0.0297
2.0026691345265135e-05,13,6.258291978156194e-05,0.20254247946519172,saddle-saddle,4.172055923845619e-06,404,0.17574258148670197,7,71,0.0097
2.0026691345265135e-05,14,4.446407547220588e-05,0.20252436062088236,saddle-saddle,2.2290900233201683e-05,839,1.0,1,839,0.1065
2.0026691345265135e-05,15,6.675497570540756e-05,0.20254665152111556,saddle-saddle,3.659413778223097e-05,3625,0.2546207010746002,1,923,0.1172
2.0026691345265135e-05,16,1.9788545614574105e-05,0.20249968509102473,minima-saddle,2.4675529857631773e-05,3,1.0,1,3,0.0004
2.0026691345265135e-05,17,3.194758028257638e-05,0.20251184412569273,saddle-saddle,1.7880811356008053e-06,136,0.36764705181121826,6,50,0.0073
2.0026691345265135e-05,18,2.4318398573086597e-05,0.20250421494398324,saddle-saddle,2.014567689911928e-05,984,1.0,1,984,0.1249
