Wall time,Step,Value
1773078719.7030551,1,0.023096131160855293
1773092065.5705404,2,0.15080313384532928
1773104067.2971823,3,0.2667669355869293
1773115726.3528833,4,0.34013599157333374
1773299499.678183,5,0.3863048255443573
1773312389.277551,6,0.41674739122390747
1773324126.1268294,7,0.4386243224143982
1773335696.926877,8,0.4561903178691864
1773350083.210498,9,0.4659837484359741
1773362968.2238836,10,0.47708457708358765
1773375118.2684727,11,0.4867328107357025
1773387845.978292,12,0.4937053620815277
1773402763.744026,13,0.500350832939148
1773415817.7518787,14,0.5055913925170898
1773427717.779213,15,0.510673463344574
1773439163.996528,16,0.5150803923606873
1773453298.8143053,17,0.5189417004585266
1773466501.227173,18,0.521686851978302
1773479529.4074085,19,0.524787187576294
1773491644.1951752,20,0.527247428894043
1773505318.6818612,21,0.5296803712844849
1773539153.289631,22,0.5325738191604614
1773551770.367876,23,0.5339569449424744
1773563408.4659882,24,0.5359652638435364
1773577503.863294,25,0.5381749868392944
1773590873.4603696,26,0.5391600131988525
1773602707.9471276,27,0.5410856008529663
1773614400.1808856,28,0.5427395701408386
1773628218.676763,29,0.5435708165168762
1773641238.7392263,30,0.5442366003990173
1773653124.681675,31,0.6371034979820251
1773665231.3498244,32,0.6582381725311279
1773679088.04607,33,0.666191816329956
1773692122.944827,34,0.6717859506607056
1773703852.8601794,35,0.6765495538711548
1773715639.1251109,36,0.680385172367096
1773728840.9296684,37,0.6828345060348511
1773741884.490163,38,0.6855210661888123
1773754221.9739532,39,0.6883153915405273
1773766436.9977498,40,0.6900731921195984
1773779080.2838588,41,0.6914695501327515
1773791989.123924,42,0.6926325559616089
1773803731.8747847,43,0.6937050223350525
1773815420.970023,44,0.6955416202545166
1773828391.4562042,45,0.6965430974960327
1773841879.6482892,46,0.696372926235199
1773854565.663006,47,0.6975101828575134
1773866669.9540095,48,0.6978949904441833
1773880323.8790271,49,0.6985670328140259
1773893081.3299658,50,0.6982032656669617
1773904924.5996737,51,0.6990134716033936
1773916713.0485458,52,0.6996870636940002
1773929356.9951682,53,0.6997308135032654
1773942742.1897094,54,0.6998143196105957
1773955092.0268962,55,0.7001358866691589
1773967244.949953,56,0.7002006769180298
1773981037.9826088,57,0.6998416185379028
1773993912.3382676,58,0.70114666223526
1774005719.1760843,59,0.7007119059562683
1774017741.9541068,60,0.7012177109718323
1774031502.2392223,61,0.73485267162323
1774045175.852704,62,0.7451963424682617
1774057696.0269914,63,0.7488180994987488
1774070051.0343847,64,0.7512673735618591
1774082226.689219,65,0.7533608078956604
1774095417.84955,66,0.7557516098022461
1774106966.095117,67,0.7565180659294128
1774118885.3862672,68,0.7586731314659119
1774133277.376275,69,0.7596800327301025
1774146919.0738344,70,0.7600437998771667
1774158494.2103355,71,0.7614752650260925
1774170174.3653631,72,0.7624205350875854
1774183913.3194633,73,0.7636186480522156
1774196581.2939131,74,0.764263391494751
1774207962.5927567,75,0.7653428316116333
1774219655.9589212,76,0.7658369541168213
1774233237.8898013,77,0.7670069336891174
1774252377.805888,78,0.7674799561500549
1774264015.4500878,79,0.7684205174446106
1774275698.2815163,80,0.7692658305168152
1774288462.807602,81,0.7704124450683594
1774301644.479824,82,0.7699956297874451
1774313182.6020942,83,0.7712874412536621
1774324802.5635643,84,0.7723317742347717
1774337315.1129346,85,0.7723528742790222
1774350597.4255965,86,0.7733823657035828
1774499972.5364766,87,0.773398756980896
1774515341.0262334,88,0.774013876914978
