Simplification Threshold,Data Index,Feature ID
1e-06,353,380
1e-06,354,288
1e-06,355,3
1e-06,356,493
1e-06,357,62
1e-06,358,288
1e-06,359,474
1e-06,360,288
1e-06,361,288
1e-06,362,288
1e-06,363,25
1e-06,364,288
1e-06,365,380
1e-06,366,288
1e-06,367,288
1e-06,368,261
1e-06,369,44
1e-06,370,288
1e-06,371,273
1e-06,372,288
1e-06,373,346
1e-06,374,288
1e-06,375,288
1e-06,376,526
1e-06,377,288
1e-06,378,288
1e-06,379,288
1e-06,380,88
1e-06,381,499
1e-06,382,549
1e-06,383,288
1e-06,384,36
1e-06,385,288
1e-06,386,205
1e-06,387,288
1e-06,388,288
1e-06,389,520
1e-06,390,288
1e-06,391,288
1e-06,392,288
1e-06,393,288
1e-06,394,288
1e-06,395,346
1e-06,396,288
1e-06,397,288
1e-06,398,176
1e-06,399,380
1e-06,400,288
1e-06,401,287
1e-06,402,39
1e-06,403,36
1e-06,404,288
1e-06,405,288
1e-06,406,134
1e-06,407,288
1e-06,408,288
1e-06,409,380
1e-06,410,288
1e-06,411,288
1e-06,412,499
1e-06,413,298
1e-06,414,288
1e-06,415,288
1e-06,416,288
1e-06,417,474
1e-06,418,493
1e-06,419,288
1e-06,420,288
1e-06,421,288
1e-06,422,288
1e-06,423,36
1e-06,424,44
1e-06,425,288
1e-06,426,282
1e-06,427,380
1e-06,428,55
1e-06,429,193
1e-06,430,91
1e-06,431,288
1e-06,432,391
1e-06,433,128
1e-06,434,269
1e-06,435,380
1e-06,436,288
1e-06,437,44
1e-06,438,198
1e-06,439,261
1e-06,440,288
1e-06,441,288
1e-06,442,3
1e-06,443,288
1e-06,444,176
1e-06,445,288
1e-06,446,288
1e-06,447,288
1e-06,448,288
1e-06,449,55
1e-06,450,193
1e-06,451,55
1e-06,452,288
1e-06,453,38
1e-06,454,288
1e-06,455,261
1e-06,456,541
1e-06,457,288
1e-06,458,317
1e-06,459,288
1e-06,460,146
1e-06,461,267
1e-06,462,19
1e-06,463,193
1e-06,464,393
1e-06,465,287
1e-06,466,368
1e-06,467,380
1e-06,468,288
1e-06,469,198
1e-06,470,288
1e-06,471,288
1e-06,472,288
1e-06,473,288
1e-06,474,493
1e-06,475,345
1e-06,476,391
1e-06,477,64
1e-06,478,55
1e-06,479,448
1e-06,480,288
