,Simplification Threshold,Count
0,0,21
1,2.3830216377973557e-7,20
2,2.3836037144064903e-7,19
3,2.3836037144064903e-7,18
4,5.959009286016226e-7,17
5,0.000002264394424855709,16
6,0.0000026219786377623677,15
7,0.000006793285137973726,14
8,0.000008104281732812524,13
9,0.000011558877304196358,12
10,0.000012964010238647461,11
11,0.0001502782106399536,10
12,0.077581487596035,9
13,0.08315680176019669,8
14,0.09374799579381943,7
15,0.09967469424009323,6
16,0.09985770285129547,5
17,0.09990700334310532,4
18,0.10856056958436966,3
19,0.13452869653701782,2
20,0.42079958319664,1
