,Simplification Threshold,Count
0,0,367
1,0,366
2,0,365
3,0,364
4,0,363
5,0,362
6,0,361
7,0,360
8,0,359
9,0,358
10,0,357
11,0,356
12,0,355
13,0,354
14,0,353
15,0,352
16,0,351
17,0,350
18,0,349
19,0,348
20,0,347
21,0,346
22,0,345
23,0,344
24,0,343
25,0,342
26,0,341
27,0,340
28,0,339
29,0,338
30,0,337
31,0,336
32,0,335
33,0,334
34,0,333
35,0,332
36,0,331
37,0,330
38,0,329
39,0,328
40,0,327
41,0,326
42,0,325
43,0,324
44,0,323
45,0,322
46,0,321
47,0,320
48,0,319
49,0,318
50,0,317
51,0,316
52,0,315
53,0,314
54,0,313
55,0,312
56,0,311
57,0,310
58,0,309
59,0,308
60,0,307
61,0,306
62,0,305
63,0,304
64,0,303
65,0,302
66,0,301
67,0,300
68,0,299
69,0,298
70,0,297
71,0,296
72,0,295
73,0,294
74,0,293
75,0,292
76,0,291
77,0,290
78,0,289
79,0,288
80,0,287
81,0,286
82,0,285
83,0,284
84,0,283
85,0,282
86,0,281
87,0,280
88,0,279
89,0,278
90,0,277
91,0,276
92,0,275
93,0,274
94,0,273
95,0,272
96,0,271
97,0,270
98,0,269
99,0,268
100,0,267
101,0,266
102,0,265
103,0,264
104,0,263
105,0,262
106,0,261
107,0,260
108,0,259
109,0,258
110,0,257
111,0,256
112,0,255
113,0,254
114,0,253
115,0,252
116,0,251
117,0,250
118,0,249
119,0,248
120,0,247
121,0,246
122,0,245
123,0,244
124,0,243
125,0,242
126,0,241
127,0,240
128,0,239
129,0,238
130,0,237
131,0,236
132,0,235
133,0,234
134,0,233
135,0,232
136,0,231
137,0,230
138,0,229
139,0,228
140,0,227
141,0,226
142,0,225
143,0,224
144,0,223
145,0,222
146,0,221
147,0,220
148,1.192074705613777e-7,219
149,1.1920906217710581e-7,218
150,1.1920906217710581e-7,217
151,1.1920917586394353e-7,216
152,1.1920917586394353e-7,215
153,1.1920917586394353e-7,214
154,1.1920923270736239e-7,213
155,1.1920923270736239e-7,212
156,1.1920923270736239e-7,211
157,1.1920923270736239e-7,210
158,1.1920923270736239e-7,209
