,Simplification Threshold,Count
0,0,359
1,0,358
2,0,357
3,0,356
4,0,355
5,0,354
6,0,353
7,0,352
8,0,351
9,0,350
10,0,349
11,0,348
12,0,347
13,0,346
14,0,345
15,0,344
16,0,343
17,0,342
18,0,341
19,0,340
20,0,339
21,0,338
22,0,337
23,0,336
24,0,335
25,0,334
26,0,333
27,0,332
28,0,331
29,0,330
30,0,329
31,0,328
32,0,327
33,0,326
34,0,325
35,0,324
36,0,323
37,0,322
38,0,321
39,0,320
40,0,319
41,0,318
42,0,317
43,0,316
44,0,315
45,0,314
46,0,313
47,0,312
48,0,311
49,0,310
50,0,309
51,0,308
52,0,307
53,0,306
54,0,305
55,0,304
56,0,303
57,0,302
58,0,301
59,0,300
60,0,299
61,0,298
62,0,297
63,0,296
64,0,295
65,0,294
66,0,293
67,0,292
68,0,291
69,0,290
70,0,289
71,0,288
72,0,287
73,0,286
74,0,285
75,0,284
76,0,283
77,0,282
78,0,281
79,0,280
80,0,279
81,0,278
82,0,277
83,0,276
84,0,275
85,0,274
86,0,273
87,0,272
88,0,271
89,0,270
90,0,269
91,0,268
92,0,267
93,0,266
94,0,265
95,0,264
96,0,263
97,0,262
98,0,261
99,0,260
100,0,259
101,0,258
102,0,257
103,0,256
104,0,255
105,0,254
106,0,253
107,0,252
108,0,251
109,0,250
110,0,249
111,0,248
112,0,247
113,0,246
114,0,245
115,0,244
116,0,243
117,0,242
118,0,241
119,0,240
120,0,239
121,0,238
122,0,237
123,0,236
124,0,235
125,0,234
126,0,233
127,0,232
128,0,231
129,0,230
130,1.1920883480343036e-7,229
131,1.1920906217710581e-7,228
132,1.1920906217710581e-7,227
133,1.1920906217710581e-7,226
134,1.1920906217710581e-7,225
135,1.1920917586394353e-7,224
136,1.1920917586394353e-7,223
137,1.1920917586394353e-7,222
138,1.1920917586394353e-7,221
139,1.1920917586394353e-7,220
140,1.1920917586394353e-7,219
141,1.1920917586394353e-7,218
142,1.1920923270736239e-7,217
143,1.1920923270736239e-7,216
144,1.1920923270736239e-7,215
145,1.1920923270736239e-7,214
146,1.1920923270736239e-7,213
147,1.1920926112907182e-7,212
148,1.1920926112907182e-7,211
149,1.1920926112907182e-7,210
150,1.1920926112907182e-7,209
151,1.1920926112907182e-7,208
