dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,neighborhood_purity,knn_accuracy,train_acc,val_acc
mnist,trainUval,densenet,185,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e185.pt,5,70000,10,,,,19.28428769774593,17.088107465724065,-0.0990599638457896,,,0.9999166666666667,0.9729
mnist,trainUval,densenet,37,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e37.pt,5,70000,10,,,,18.29357712970357,14.762772463584582,-0.0931618699537999,,,0.9767833333333333,0.9623
mnist,trainUval,densenet,7,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e7.pt,5,70000,10,,,,14.975223834393232,7.674827681529131,-0.0850425213844265,,,0.8998333333333334,0.8965
mnist,val,densenet,100,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e100.pt,5,10000,10,,,,18.87235444931544,15.904946305300708,-0.0968743056298288,,,0.9982333333333333,0.9711
mnist,val,densenet,133,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e133.pt,5,10000,10,,,,18.91841572037387,16.331480369766407,-0.0988251630500132,,,0.9993,0.9719
mnist,val,densenet,166,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e166.pt,5,10000,10,,,,19.011432071721156,16.547273253149235,-0.0976279883118855,,,0.9997333333333334,0.9726
mnist,val,densenet,199,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e199.pt,5,10000,10,,,,19.10546516920595,16.562275599610004,-0.1008476819690171,,,0.99995,0.9724
mnist,val,densenet,50,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e50.pt,5,10000,10,,,,18.594311858038136,14.934867052649707,-0.0980420368317643,,,0.9860666666666666,0.9662
mnist,val,densenet,83,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e83.pt,5,10000,10,,,,18.81289450814442,15.859309205502324,-0.0961377409100253,,,0.9946333333333334,0.9695
cifar,train,resnet,114,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e114.pt,5,50000,10,,,,10.138563435628694,6.63941281484719,-0.093146363730517,,,0.9809,0.8448
cifar,train,resnet,147,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e147.pt,5,50000,10,,,,10.579413426044992,8.93228862660243,-0.0999447151352471,,,0.99978,0.8655
cifar,train,resnet,18,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e18.pt,5,50000,10,,,,13.84288508329132,4.790549403451536,-0.0526963075617151,,,0.82292,0.7717
cifar,train,resnet,31,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e31.pt,5,50000,10,,,,12.92906236709744,4.454191186592356,-0.0437421377064338,,,0.8201,0.7595
cifar,train,resnet,64,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e64.pt,5,50000,10,,,,13.916083962182231,8.516086051985521,-0.0918122002842288,,,0.98522,0.8418
cifar,train,resnet,97,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e97.pt,5,50000,10,,,,9.86627742151716,5.229586206348107,-0.0867730747137612,,,0.9525,0.8302
cifar,trainUval,resnet,128,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e128.pt,5,60000,10,,,,10.164603467846026,7.766981948830618,-0.0980971328773602,,,0.99734,0.8602
cifar,trainUval,resnet,160,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e160.pt,5,60000,10,,,,8.394203581599545,4.815547020751303,-0.0841765659911846,,,0.94996,0.8359
cifar,trainUval,resnet,193,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e193.pt,5,60000,10,,,,7.427917968032764,4.84764156342369,-0.0768497161287874,,,0.96294,0.8332
cifar,trainUval,resnet,45,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e45.pt,5,60000,10,,,,13.039797108550337,5.308057817130256,-0.0635041269678439,,,0.90354,0.8142
cifar,trainUval,resnet,78,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e78.pt,5,60000,10,,,,10.91267175811918,5.107988674769548,-0.0703618644836651,,,0.90842,0.8159
cifar,val,resnet,109,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e109.pt,5,10000,10,,,,9.047638064710377,4.323169442878823,-0.0885994042147911,,,0.97554,0.8389
cifar,val,resnet,141,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e141.pt,5,10000,10,,,,9.148548665555966,5.661292385345306,-0.0939319794562941,,,0.99972,0.8641
