dataset,split,model,layer,epoch,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,train_acc,val_acc
mnist,train,densenet,a1,89,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e89.pt,5,60000,10,20.062452014612084,27.61785794900865,0.7264304151195851,18.95220384710638,16.05494806219777,-0.0971835619202736,0.9963833333333332,0.9711
mnist,trainUval,densenet,a1,12,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e12.pt,5,70000,10,21.67021740698084,27.061304379925552,0.8007824420709042,16.082930484253243,9.5061501461748,-0.0911392181251516,0.92705,0.921
mnist,trainUval,densenet,a1,152,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e152.pt,5,70000,10,19.765658912709046,27.473568375541483,0.7194427255509172,19.08867374897284,16.5946390661456,-0.0972055731858217,0.9993833333333332,0.9729
mnist,trainUval,densenet,a1,185,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e185.pt,5,70000,10,19.50646813080372,27.421934774777306,0.7113454353609567,19.28428769774593,17.088107465724065,-0.0990599638457896,0.9999166666666668,0.9729
mnist,trainUval,densenet,a1,37,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e37.pt,5,70000,10,20.44685638149601,27.45981390792993,0.7446101583227153,18.29357712970357,14.762772463584582,-0.0931618699537999,0.9767833333333332,0.9623
mnist,trainUval,densenet,a1,7,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e7.pt,5,70000,10,22.37554204648677,27.024843092192487,0.8279619596737307,14.975223834393232,7.674827681529131,-0.0850425213844265,0.8998333333333334,0.8965
mnist,val,densenet,a1,100,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e100.pt,5,10000,10,19.958355355211825,27.46094906132847,0.7267904437912499,18.87235444931544,15.904946305300708,-0.0968743056298288,0.9982333333333332,0.9711
mnist,val,densenet,a1,133,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e133.pt,5,10000,10,19.84264434725194,27.40455940121092,0.7240636149901086,18.91841572037387,16.331480369766407,-0.0988251630500132,0.9993,0.9719
mnist,val,densenet,a1,166,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e166.pt,5,10000,10,19.68809613471179,27.356766256084807,0.7196792175805019,19.01143207172116,16.547273253149235,-0.0976279883118855,0.9997333333333334,0.9726
mnist,val,densenet,a1,199,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e199.pt,5,10000,10,19.46653092282309,27.268814067143268,0.7138752303232245,19.10546516920595,16.562275599610004,-0.1008476819690171,0.99995,0.9724
mnist,val,densenet,a1,50,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e50.pt,5,10000,10,20.209171270946246,27.4680387269854,0.7357340460967157,18.594311858038136,14.934867052649707,-0.0980420368317643,0.9860666666666666,0.9662
mnist,val,densenet,a1,83,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e83.pt,5,10000,10,20.126612703720536,27.54184717781656,0.7307648094108742,18.81289450814442,15.859309205502324,-0.0961377409100253,0.9946333333333334,0.9695
cifar,train,resnet,a1,114,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e114.pt,5,50000,10,9.826328594294814,14.141663107331086,0.6948495746020715,10.138563435628694,6.63941281484719,-0.093146363730517,0.9809,0.8448
cifar,train,resnet,a1,147,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e147.pt,5,50000,10,8.548592168785994,13.638513561495063,0.6267979373441992,10.579413426044992,8.93228862660243,-0.0999447151352471,0.99978,0.8655
cifar,train,resnet,a1,18,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e18.pt,5,50000,10,17.280536692169058,21.69337895953287,0.7965811469206532,13.84288508329132,4.790549403451536,-0.0526963075617151,0.82292,0.7717
cifar,train,resnet,a1,31,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e31.pt,5,50000,10,15.959814621435005,20.299671939568263,0.7862104702453847,12.92906236709744,4.454191186592356,-0.0437421377064338,0.8201,0.7595
cifar,train,resnet,a1,64,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e64.pt,5,50000,10,15.644363558180906,20.949299256026563,0.7467726422247958,13.916083962182231,8.516086051985521,-0.0918122002842288,0.98522,0.8418
cifar,train,resnet,a1,97,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e97.pt,5,50000,10,10.486088044704491,14.41217870220557,0.7275852084112553,9.86627742151716,5.229586206348107,-0.0867730747137612,0.9525,0.8302
cifar,trainUval,resnet,a1,128,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e128.pt,5,60000,10,9.083375755279985,13.661961952589088,0.6648661288036003,10.164603467846026,7.766981948830618,-0.0980971328773602,0.99734,0.8602
cifar,trainUval,resnet,a1,160,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e160.pt,5,60000,10,8.126671058640515,11.690300379420336,0.6951635796242454,8.394203581599545,4.815547020751303,-0.0841765659911846,0.94996,0.8359
cifar,trainUval,resnet,a1,193,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e193.pt,5,60000,10,6.631211733123716,9.98611478247036,0.664043211756804,7.427917968032764,4.84764156342369,-0.0768497161287874,0.96294,0.8332
cifar,trainUval,resnet,a1,45,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e45.pt,5,60000,10,15.008267712049994,19.77209811617649,0.7590629797538289,13.039797108550337,5.308057817130256,-0.0635041269678439,0.90354,0.8142
cifar,trainUval,resnet,a1,78,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e78.pt,5,60000,10,12.62858332724086,16.63341920031582,0.7592295471637653,10.91267175811918,5.107988674769548,-0.0703618644836651,0.90842,0.8159
cifar,val,resnet,a1,109,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e109.pt,5,10000,10,10.440679752235203,13.83907711346448,0.7544346827923325,9.047638064710377,4.323169442878823,-0.0885994042147911,0.97554,0.8389
cifar,val,resnet,a1,141,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/val/a1_e141.pt,5,10000,10,9.298069429875458,13.112574572267606,0.7090956378269434,9.148548665555966,5.661292385345306,-0.0939319794562941,0.99972,0.8641
