dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,val,resnet,146,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e146.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.99976,0.8634
cifar,val,resnet,168,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e168.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.94994,0.8323
cifar,val,resnet,19,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e19.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.84254,0.791
cifar,val,resnet,30,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e30.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.92048,0.8275
cifar,val,resnet,52,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e52.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.9421,0.8259
cifar,val,resnet,74,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e74.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.90912,0.8113
cifar,val,resnet,96,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e96.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.94706,0.8285
cifar,trainUval,densenet,100,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e100.pt,5,60000,10,,,,,,,,0.906610178005046,0.9563666666666668,0.9041781039329294,0.95635,0.9024042153846484,0.95645,0.9007537099580936,0.9565666666666668,0.8992822745997789,0.9564,0.89810244384701,0.9564666666666668,0.8969641006421596,0.9561833333333334,0.8940341681404013,0.9559833333333332,0.8909647449378023,0.9556833333333332,0.97136,0.8382
cifar,trainUval,densenet,122,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e122.pt,5,60000,10,,,,,,,,0.9568092454077664,0.9761166666666666,0.956220904214994,0.97615,0.9558793578660456,0.9759833333333332,0.9555509622074498,0.9762,0.9552931740181608,0.9761,0.9550468010961852,0.9761833333333332,0.9547826375027754,0.9760333333333332,0.954079948234366,0.97605,0.9535306977710312,0.9761166666666666,0.9979,0.8621
cifar,trainUval,densenet,144,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e144.pt,5,60000,10,,,,,,,,0.9650846608330595,0.9788666666666668,0.9648530710467756,0.979,0.9647542519892598,0.97895,0.9646025563953748,0.9788666666666668,0.964470345913194,0.9787666666666668,0.9644460013898783,0.9788833333333332,0.9643404660739172,0.9789166666666668,0.9641383283336076,0.9788333333333332,0.9639585444503472,0.9788833333333332,0.99988,0.875
