dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
cifar,0.8,trainUval,vgg,200,a1,,,60000,10,,,,,,,,0.210919418494189,0.3596833333333333,0.81076,0.2388
cifar,0.9,trainUval,vgg,200,a4,,,60000,10,,,,,,,,0.3154300079077564,0.4876,0.68164,0.1617
cifar,1.0,trainUval,vgg,200,a7,,,60000,10,,,,,,,,0.2535951235491723,0.36235,,
cifar,0.0,val,densenet,200,a2,,,10000,10,,,,,,,,0.6496033201785142,0.8066,,
cifar,0.05,val,densenet,200,a2,,,10000,10,,,,,,,,0.6279371091150233,0.7951,0.99688,0.8074
cifar,0.1,val,densenet,200,a2,,,10000,10,,,,,,,,0.5924759442466431,0.7704,0.9955,0.7726
cifar,0.15,val,densenet,200,a2,,,10000,10,,,,,,,,0.5792863626962887,0.7652,0.99446,0.7457
cifar,0.2,val,densenet,200,a2,,,10000,10,,,,,,,,0.5484783792923779,0.7393,0.9943,0.7188
cifar,0.25,val,densenet,200,a2,,,10000,10,,,,,,,,0.5310063457216238,0.7262,0.99266,0.6933
cifar,0.3,val,densenet,200,a2,,,10000,10,,,,,,,,0.5212500253930084,0.7182,0.99006,0.6528
cifar,0.35,val,densenet,200,a2,,,10000,10,,,,,,,,0.4966066439972224,0.6996,0.99074,0.6086
cifar,0.4,val,densenet,200,a2,,,10000,10,,,,,,,,0.4923304569870796,0.6973,0.98562,0.5638
cifar,0.45,val,densenet,200,a2,,,10000,10,,,,,,,,0.46359151516265,0.6719,0.98492,0.5336
cifar,0.5,val,densenet,200,a2,,,10000,10,,,,,,,,0.4511995174982193,0.6592,0.98472,0.5092
cifar,0.6,val,densenet,200,a2,,,10000,10,,,,,,,,0.4155902288084144,0.6241,0.98172,0.4162
cifar,0.7,val,densenet,200,a2,,,10000,10,,,,,,,,0.3772896983468073,0.574,0.97752,0.3136
cifar,0.8,val,densenet,200,a2,,,10000,10,,,,,,,,0.3319251112288969,0.521,0.9608,0.2218
cifar,0.9,val,densenet,200,a2,,,10000,10,,,,,,,,0.2909523333165797,0.4672,0.94792,0.1563
cifar,1.0,val,densenet,200,a2,,,10000,10,,,,,,,,0.2709607229004837,0.4427,,
cifar,0.05,train,resnet,200,a3,,,50000,10,,,,,,,,0.6469084324403457,0.82938,0.99416,0.8047
cifar,0.1,val,resnet,200,a2,,,10000,10,,,,,,,,0.6018347952129899,0.7849,0.99212,0.7727
cifar,0.2,trainUval,resnet,200,a1,,,60000,10,,,,,,,,0.7809444589889805,0.8876833333333334,0.98526,0.7109
cifar,0.25,val,resnet,200,a5,,,10000,10,,,,,,,,0.3279256657088805,0.527,0.98284,0.6752
cifar,0.35,trainUval,resnet,200,a4,,,60000,10,,,,,,,,0.5008892266444867,0.7180166666666666,0.9776,0.5994
cifar,0.45,train,resnet,200,a3,,,50000,10,,,,,,,,0.512205213341946,0.7217,0.97488,0.5223
cifar,0.5,val,resnet,200,a2,,,10000,10,,,,,,,,0.4432376412098603,0.6661,0.97576,0.4941
cifar,0.7,trainUval,resnet,200,a1,,,60000,10,,,,,,,,0.4532315945881585,0.6351166666666667,0.95682,0.3214
cifar,0.8,val,resnet,200,a5,,,10000,10,,,,,,,,0.2879360412843962,0.4633,0.94646,0.2278
cifar,1.0,trainUval,resnet,200,a4,,,60000,10,,,,,,,,0.3485565082661543,0.5474833333333333,,
cifar,0.0,val,vgg,200,a4,,,10000,10,,,,,,,,0.5876004221764274,0.7245,,
cifar,0.05,val,vgg,200,a7,,,10000,10,,,,,,,,0.2129642712258306,0.3092,0.98852,0.8644
