dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,silhouette_score,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,0.0,trainUval,densenet,116,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e116.pt,5,60000,10,,,,,,,0.2149244142228689,,,0.950087262330736,0.9745166666666668,0.9492396763788364,0.9743166666666668,0.9486685694929986,0.9744833333333334,0.9480237504030636,0.9744166666666668,0.9475265277786932,0.97435,0.947043113878028,0.9743666666666668,0.9466540428140576,0.9742833333333332,0.945630557258171,0.9743,0.9445529082605332,0.9741333333333332,0.99456,0.8565
cifar,0.0,trainUval,densenet,138,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e138.pt,5,60000,10,,,,,,,0.2796079727946236,,,0.9649314801529798,0.9788666666666668,0.9646586690098152,0.9788333333333332,0.9644515621029484,0.9788666666666668,0.9643346354925666,0.9788666666666668,0.9642318741948512,0.9789666666666668,0.9641682456277566,0.9789,0.9640976361704549,0.9789166666666668,0.9639132170268744,0.97895,0.9636925616868036,0.9789333333333332,0.99978,0.872
cifar,0.0,trainUval,densenet,16,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e16.pt,5,60000,10,,,,,,,0.0413972850117359,,,0.7056414963626709,0.81725,0.7011116044130118,0.81825,0.6976574212326988,0.81875,0.6947167479387981,0.8184166666666667,0.692163140400576,0.8185666666666667,0.6900227329133376,0.8188666666666666,0.6879998735113085,0.8182,0.6830558369080254,0.8185166666666667,0.6775604834251486,0.8176166666666667,0.82494,0.7735
cifar,0.0,trainUval,densenet,181,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e181.pt,5,60000,10,,,,,,,0.2129195276864924,,,0.9185088986708596,0.9594666666666668,0.9169602588378613,0.9596166666666668,0.9155767704449956,0.9593666666666668,0.9143811197859436,0.95955,0.913349651991874,0.9594666666666668,0.9125322136103632,0.9593,0.9117092675130334,0.9590333333333332,0.9096003920760442,0.9581166666666666,0.9074265425392584,0.9575833333333332,0.96922,0.8413
cifar,0.0,trainUval,densenet,22,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e22.pt,5,60000,10,,,,,,,0.0584033371561229,,,0.7568037117088456,0.8602,0.7526079664939631,0.8601833333333333,0.7494242087976668,0.8619833333333333,0.7467884454577918,0.8624833333333334,0.7443584922224115,0.8618666666666667,0.7422346632448216,0.8626,0.7400928525245021,0.8622833333333333,0.7348155886517755,0.8615666666666667,0.7291897561560363,0.86205,0.8782,0.7945
cifar,0.0,trainUval,densenet,44,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e44.pt,5,60000,10,,,,,,,0.0844040004074255,,,0.8198926140354256,0.9086833333333332,0.8158435338229992,0.9091,0.8123766829952354,0.9090833333333334,0.8094719054178839,0.9097333333333332,0.8071931950836627,0.9091333333333332,0.8049743928977685,0.9096666666666666,0.8030024350311823,0.9091,0.7978242263776624,0.9091166666666668,0.7924259093124417,0.9081666666666668,0.91978,0.8176
cifar,0.0,trainUval,densenet,66,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e66.pt,5,60000,10,,,,,,,0.1471520742364505,,,0.9335363090610258,0.9706666666666668,0.9320653560766314,0.9707333333333332,0.9308637467059392,0.9708166666666668,0.9297828456066418,0.9710166666666666,0.9288321521893188,0.9710166666666666,0.9280260237150068,0.97105,0.927195664909749,0.9711333333333332,0.9251203799948464,0.9711333333333332,0.9228221235536828,0.9708666666666668,0.99666,0.8494
cifar,0.0,trainUval,densenet,88,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e88.pt,5,60000,10,,,,,,,0.123215353748696,,,0.8762387446182803,0.9426333333333332,0.873075735066577,0.94265,0.8703215258807169,0.9432,0.8679918600267368,0.9432333333333334,0.8659559900505718,0.9428333333333332,0.8643180544248902,0.94295,0.862804151750834,0.9429666666666666,0.8589052900517599,0.9425333333333332,0.8546083528816517,0.9416833333333332,0.95492,0.836
cifar,0.0,train,densenet,108,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e108.pt,5,50000,10,,,,,,,0.195494689076595,,,,,,,,,,,,,,,,,,,,,0.98402,0.849
cifar,0.0,train,densenet,13,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e13.pt,5,50000,10,,,,,,,0.0225267307776485,,,,,,,,,,,,,,,,,,,,,0.77016,0.7332
