dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
mnist,0.5,val,densenet,200,a8,,,10000,10,,,,,,,,0.872461590694253,0.957,0.9771333333333333,0.5933
mnist,0.6,val,densenet,200,a8,,,10000,10,,,,,,,,0.8713353397406498,0.9571,0.9523333333333334,0.5088
mnist,0.7,val,densenet,200,a8,,,10000,10,,,,,,,,0.8702366089281651,0.9547,0.9321833333333334,0.4065
mnist,0.8,val,densenet,200,a8,,,10000,10,,,,,,,,0.8699419272076542,0.9564,0.89575,0.3115
mnist,0.9,val,densenet,200,a8,,,10000,10,,,,,,,,0.8692329290667352,0.9552,0.8673833333333333,0.2009
mnist,1.0,val,densenet,200,a8,,,10000,10,,,,,,,,0.8693971820788658,0.9549,,
mnist,0.05,trainUval,resnet,200,a4,,,70000,10,,,,,,,,0.9506245370414008,0.9826571428571428,0.9999833333333333,0.9641
mnist,0.15,train,resnet,200,a3,,,60000,10,,,,,,,,0.9487906348405328,0.9813333333333332,1.0,0.9112
mnist,0.2,val,resnet,200,a2,,,10000,10,,,,,,,,0.9162956759660066,0.966,1.0,0.8754
mnist,0.3,trainUval,resnet,200,a1,,,70000,10,,,,,,,,0.8974124447069756,0.9513571428571428,0.9999,0.8042
mnist,0.35,val,resnet,200,a5,,,10000,10,,,,,,,,0.8886390656660211,0.963,0.9998166666666667,0.7655
mnist,0.45,trainUval,resnet,200,a4,,,70000,10,,,,,,,,0.9416087383539592,0.9795714285714284,0.9998666666666667,0.6743
mnist,0.6,train,resnet,200,a3,,,60000,10,,,,,,,,0.932544653112457,0.9757166666666668,0.9995833333333334,0.502
mnist,0.7,val,resnet,200,a2,,,10000,10,,,,,,,,0.8437076684043446,0.9447,0.9993333333333333,0.4144
mnist,0.9,trainUval,resnet,200,a1,,,70000,10,,,,,,,,0.5368574620569777,0.7682571428571429,0.9998,0.1979
mnist,1.0,val,resnet,200,a5,,,10000,10,,,,,,,,0.873834480240634,0.9577,,
