dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,densenet,20,33,a1,1e-05,1e-05,30,1.9333333333333333,102.0,1,386.0,104.0,3.4,0.03333333333333333,12.866666666666667,3.466666666666667,0.97058,0.7626
cifar,train,densenet,20,33,a2,1e-05,1e-05,34,1.9411764705882353,124.0,1,498.0,123.0,3.6470588235294117,0.029411764705882353,14.647058823529411,3.6176470588235294,0.97058,0.7626
cifar,train,densenet,20,33,a3,1e-05,1e-05,204,2.00990099009901,9714.0,3,179402.0,5304.0,47.61764705882353,0.014705882352941176,879.4215686274509,26.0,0.97058,0.7626
cifar,train,densenet,20,33,a4,1e-05,1e-05,238,2.0256410256410255,,5,288309.0,7264.0,,0.02100840336134454,1211.3823529411766,30.521008403361346,0.97058,0.7626
cifar,train,densenet,20,33,a5,1e-05,1e-05,196,1.989795918367347,9312.0,1,156849.0,4948.0,47.51020408163265,0.00510204081632653,800.25,25.244897959183675,0.97058,0.7626
cifar,train,densenet,20,33,a6,1e-05,1e-05,177,2.0,7331.0,2,114240.0,4012.0,41.4180790960452,0.011299435028248588,645.4237288135594,22.666666666666668,0.97058,0.7626
cifar,train,densenet,20,33,a7,1e-05,1e-05,145,2.028169014084507,,4,62772.0,2680.0,,0.027586206896551724,432.9103448275862,18.482758620689655,0.97058,0.7626
cifar,train,densenet,20,33,a8,1e-05,1e-05,154,2.013157894736842,5424.0,3,76654.0,3062.0,35.22077922077922,0.01948051948051948,497.75324675324674,19.883116883116884,0.97058,0.7626
cifar,trainUval,densenet,20,33,a1,1e-05,1e-05,42,1.9523809523809523,226.0,1,1023.0,188.0,5.380952380952381,0.023809523809523808,24.357142857142858,4.476190476190476,0.97058,0.7626
cifar,trainUval,densenet,20,33,a2,1e-05,1e-05,38,1.9473684210526316,180.0,1,822.0,159.0,4.7368421052631575,0.02631578947368421,21.63157894736842,4.184210526315789,0.97058,0.7626
