dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
mnist,train,densenet,20,9,a6,1e-07,1e-07,333,2.049382716049383,,10,120471.0,3647.0,,0.03003003003003003,361.77477477477476,10.951951951951951,0.9940833333333333,0.9891
mnist,train,densenet,20,9,a7,1e-07,1e-07,452,2.05,,12,792385.0,11211.0,,0.02654867256637168,1753.0641592920354,24.803097345132745,0.9940833333333333,0.9891
mnist,train,densenet,20,9,a8,1e-07,1e-07,537,2.0303030303030303,,10,2088768.0,21475.0,,0.0186219739292365,3889.6983240223462,39.99068901303538,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a1,1e-07,1e-07,82,1.975609756097561,292.0,1,2460.0,341.0,3.5609756097560976,0.012195121951219513,30.0,4.158536585365853,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a2,1e-07,1e-07,126,2.0161290322580645,729.0,3,6890.0,670.0,5.785714285714286,0.023809523809523808,54.682539682539684,5.317460317460317,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a3,1e-07,1e-07,162,1.9876543209876543,1232.0,1,14053.0,975.0,7.604938271604938,0.006172839506172839,86.74691358024691,6.018518518518518,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a4,1e-07,1e-07,160,2.0126582278481013,1151.0,3,12549.0,958.0,7.19375,0.01875,78.43125,5.9875,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a5,1e-07,1e-07,295,2.027586206896552,,6,81402.0,2909.0,,0.020338983050847456,275.93898305084747,9.861016949152543,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a6,1e-07,1e-07,392,2.0471204188481678,,11,182846.0,4974.0,,0.02806122448979592,466.4438775510204,12.688775510204081,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a7,1e-07,1e-07,515,2.047808764940239,,12,1225521.0,14889.0,,0.02330097087378641,2379.652427184466,28.910679611650487,0.9940833333333333,0.9891
mnist,trainUval,densenet,20,9,a8,1e-07,1e-07,626,2.0226537216828477,,9,3235107.0,28470.0,,0.01437699680511182,5167.902555910543,45.47923322683706,0.9940833333333333,0.9891
