dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,resnet,20,30,aavgpool,1e-05,1e-05,46,1.9565217391304348,152.0,1,769.0,171.0,3.3043478260869565,0.021739130434782608,16.717391304347824,3.717391304347826,0.97678,0.7454
cifar,train,resnet,20,30,afc,1e-05,1e-05,46,1.9565217391304348,152.0,1,769.0,171.0,3.3043478260869565,0.021739130434782608,16.717391304347824,3.717391304347826,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn1,1e-05,1e-05,228,2.0267857142857144,,5,249929.0,6645.0,,0.021929824561403508,1096.1798245614036,29.144736842105264,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-bn2,1e-05,1e-05,251,2.032520325203252,,6,342013.0,8148.0,,0.02390438247011952,1362.601593625498,32.462151394422314,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c1,1e-05,1e-05,321,2.051282051282051,,9,717421.0,13208.0,,0.028037383177570093,2234.956386292835,41.14641744548287,0.97678,0.7454
cifar,train,resnet,20,30,al1-b0-c2,1e-05,1e-05,318,2.032051282051282,,7,681205.0,12756.0,,0.0220125786163522,2142.1540880503144,40.113207547169814,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn1,1e-05,1e-05,311,2.026143790849673,,5,650856.0,12485.0,,0.01607717041800643,2092.7845659163986,40.144694533762056,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-bn2,1e-05,1e-05,317,2.0127388535031847,,4,669063.0,12719.0,,0.012618296529968454,2110.608832807571,40.12302839116719,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c1,1e-05,1e-05,387,2.0423280423280423,,10,1239240.0,19005.0,,0.025839793281653745,3202.170542635659,49.10852713178294,0.97678,0.7454
cifar,train,resnet,20,30,al1-b1-c2,1e-05,1e-05,450,2.050228310502283,,11,2004577.0,26095.0,,0.024444444444444446,4454.615555555555,57.98888888888889,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn1,1e-05,1e-05,242,2.0252100840336134,,5,293598.0,7048.0,,0.02066115702479339,1213.2148760330579,29.123966942148762,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-bn2,1e-05,1e-05,452,2.0315315315315314,,7,1686811.0,21912.0,,0.015486725663716814,3731.8827433628317,48.47787610619469,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c1,1e-05,1e-05,358,2.0517241379310347,,11,959692.0,15225.0,,0.030726256983240222,2680.7039106145253,42.52793296089386,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-c2,1e-05,1e-05,257,2.015748031496063,,4,304513.0,6803.0,,0.01556420233463035,1184.8754863813228,26.470817120622566,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-bn,1e-05,1e-05,234,1.9914529914529915,10860.0,1,235137.0,5849.0,46.41025641025641,0.004273504273504274,1004.8589743589744,24.995726495726494,0.97678,0.7454
cifar,train,resnet,20,30,al4-b0-downsample-conv,1e-05,1e-05,358,2.0517241379310347,,11,959692.0,15225.0,,0.030726256983240222,2680.7039106145253,42.52793296089386,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn1,1e-05,1e-05,92,1.9782608695652173,746.0,1,6411.0,567.0,8.108695652173912,0.010869565217391304,69.68478260869566,6.163043478260869,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-bn2,1e-05,1e-05,522,2.011583011583012,,5,2412213.0,27100.0,,0.009578544061302681,4621.097701149425,51.91570881226053,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c1,1e-05,1e-05,48,1.9583333333333333,156.0,1,817.0,176.0,3.25,0.020833333333333332,17.020833333333332,3.6666666666666665,0.97678,0.7454
cifar,train,resnet,20,30,al4-b1-c2,1e-05,1e-05,99,2.0,814.0,2,7039.0,628.0,8.222222222222221,0.020202020202020204,71.1010101010101,6.343434343434343,0.97678,0.7454
cifar,trainUval,resnet,20,30,aavgpool,1e-05,1e-05,50,1.96,178.0,1,947.0,194.0,3.56,0.02,18.94,3.88,0.97678,0.7454
cifar,trainUval,resnet,20,30,afc,1e-05,1e-05,50,1.96,178.0,1,947.0,194.0,3.56,0.02,18.94,3.88,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-bn1,1e-05,1e-05,295,2.0136986301369864,,4,540038.0,11103.0,,0.013559322033898305,1830.6372881355933,37.637288135593224,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-bn2,1e-05,1e-05,329,2.0246913580246915,,6,763772.0,13863.0,,0.0182370820668693,2321.495440729483,42.13677811550152,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-c1,1e-05,1e-05,408,2.0248756218905473,,7,1454471.0,21270.0,,0.01715686274509804,3564.8799019607845,52.13235294117647,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b0-c2,1e-05,1e-05,379,2.021390374331551,,6,1159049.0,18279.0,,0.0158311345646438,3058.1767810026386,48.229551451187334,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-bn1,1e-05,1e-05,390,2.0260416666666665,,7,1270288.0,19453.0,,0.017948717948717947,3257.148717948718,49.87948717948718,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-bn2,1e-05,1e-05,375,2.010752688172043,,4,1102399.0,17779.0,,0.010666666666666666,2939.730666666667,47.410666666666664,0.97678,0.7454
cifar,trainUval,resnet,20,30,al1-b1-c1,1e-05,1e-05,472,2.038961038961039,,9,2272752.0,28386.0,,0.019067796610169493,4815.152542372882,60.139830508474574,0.97678,0.7454
