,Simplification Threshold,Number of Minima
0,0,42
1,1.1909287422895432e-7,41
2,0.000008081784471869469,40
3,0.000008457631338387728,39
4,0.000018994323909282684,38
5,0.00003463297616690397,37
6,0.00004495377652347088,36
7,0.000047105830162763596,35
8,0.000058208126574754715,34
9,0.00006723124533891678,33
10,0.00008567026816308498,32
11,0.00011730269761756063,31
12,0.00025666970759630203,30
13,0.0003555505536496639,29
14,0.0005713589489459991,28
15,0.0006381373386830091,27
16,0.0007347054779529572,26
17,0.0007490413263440132,25
18,0.0008503124117851257,24
19,0.0009484624024480581,23
20,0.0012322841212153435,22
21,0.0016259588301181793,21
22,0.0017195586115121841,20
23,0.0033190585672855377,19
24,0.0037803761661052704,18
25,0.0038701295852661133,17
26,0.004325661808252335,16
27,0.0057900696992874146,15
28,0.005795411765575409,14
29,0.008431725203990936,13
30,0.01495787501335144,12
31,0.02534349262714386,11
32,0.08969685435295105,10
33,0.1420588195323944,9
34,0.14876602590084076,8
35,0.16196386516094208,7
36,0.18359938263893127,6
37,0.19905850291252136,5
38,0.20131489634513855,4
39,0.2240142971277237,3
40,0.2288108766078949,2
41,0.24804586172103882,1
