dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,val,densenet,20,15,a1,0.01,0.01,18,1.8888888888888888,36.0,1,99.0,47.0,2.0,0.05555555555555555,5.5,2.611111111111111,0.90258,0.7422
cifar,val,densenet,20,18,a1,0.01,0.01,16,1.875,26.0,1,73.0,39.0,1.625,0.0625,4.5625,2.4375,0.93044,0.7493
cifar,val,densenet,20,21,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.95162,0.749
cifar,val,densenet,20,24,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.95506,0.7413
cifar,val,densenet,20,27,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.9589,0.7468
cifar,val,densenet,20,30,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.96386,0.7517
cifar,val,densenet,20,33,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.97058,0.7626
cifar,val,densenet,20,36,a1,0.01,0.01,12,1.8333333333333333,20.0,1,35.0,26.0,1.6666666666666667,0.08333333333333333,2.9166666666666665,2.1666666666666665,0.95304,0.7403
cifar,val,densenet,20,39,a1,0.01,0.01,2,1.0,0.0,1,0.0,1.0,0.0,0.5,0.0,0.5,0.9645,0.7509
cifar,val,densenet,20,3,a1,0.01,0.01,88,1.9772727272727273,1398.0,1,12379.0,857.0,15.886363636363637,0.011363636363636364,140.67045454545453,9.738636363636363,0.57684,0.5581
cifar,val,densenet,20,42,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.95498,0.7467
cifar,val,densenet,20,45,a1,0.01,0.01,6,1.6666666666666667,2.0,1,4.0,8.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.96312,0.754
cifar,val,densenet,20,48,a1,0.01,0.01,4,1.5,0.0,1,1.0,4.0,0.0,0.25,0.25,1.0,0.95776,0.7486
cifar,val,densenet,20,6,a1,0.01,0.01,42,1.9523809523809523,292.0,1,1386.0,221.0,6.9523809523809526,0.023809523809523808,33.0,5.261904761904762,0.70066,0.6599
cifar,val,densenet,20,9,a1,0.01,0.01,28,1.9285714285714286,128.0,1,414.0,108.0,4.571428571428571,0.03571428571428571,14.785714285714286,3.857142857142857,0.81172,0.7244
mnist,train,densenet,20,0,a1,0.01,0.01,317,2.0127388535031847,,4,673687.0,12750.0,,0.012618296529968454,2125.1955835962144,40.22082018927445,0.0981,0.0961
mnist,train,densenet,20,10,a1,0.01,0.01,20,1.9,46.0,1,129.0,55.0,2.3,0.05,6.45,2.75,0.9902,0.9851
mnist,train,densenet,20,11,a1,0.01,0.01,18,1.8888888888888888,20.0,1,66.0,41.0,1.1111111111111112,0.05555555555555555,3.6666666666666665,2.2777777777777777,0.98765,0.9825
mnist,train,densenet,20,12,a1,0.01,0.01,20,1.9,28.0,1,106.0,50.0,1.4,0.05,5.3,2.5,0.9868333333333333,0.978
mnist,train,densenet,20,13,a1,0.01,0.01,20,1.9,64.0,1,160.0,62.0,3.2,0.05,8.0,3.1,0.9907833333333333,0.9863
mnist,train,densenet,20,14,a1,0.01,0.01,18,1.8888888888888888,44.0,1,106.0,49.0,2.4444444444444446,0.05555555555555555,5.888888888888889,2.7222222222222223,0.9939,0.9902
mnist,train,densenet,20,15,a1,0.01,0.01,20,1.9,42.0,1,129.0,55.0,2.1,0.05,6.45,2.75,0.99135,0.9851
mnist,train,densenet,20,1,a1,0.01,0.01,24,1.9166666666666667,60.0,1,214.0,72.0,2.5,0.041666666666666664,8.916666666666666,3.0,0.9468,0.9424
