dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,train,vgg,20,18,a1,6.794594810344279e-06,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.981,0.7998
cifar,train,vgg,20,21,a1,0.0,valley=classes,798,30,,,30,,,0.98854,0.8085
cifar,train,vgg,20,24,a1,3.5762673178396653e-07,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.99238,0.8068
cifar,train,vgg,20,27,a1,0.0,valley=classes,1051,48,,,48,,,0.99514,0.8122
cifar,train,vgg,20,30,a1,0.0,valley=classes,866,29,,,29,,,0.99386,0.807
cifar,train,vgg,20,33,a1,2.3841766960686073e-07,valley=classes,20,1,1.9,32.0,1,105.0,50.0,0.99152,0.8
cifar,train,vgg,20,36,a1,2.3841721485950984e-07,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.99544,0.8109
cifar,train,vgg,20,39,a1,0.0,valley=classes,1205,45,,,45,,,0.99804,0.8168
cifar,train,vgg,20,3,a1,0.10014760494232178,valley=classes,20,1,1.9,30.0,1,115.0,51.0,0.69552,0.6654
cifar,train,vgg,20,42,a1,0.0,valley=classes,1212,49,,,49,,,0.99744,0.8124
cifar,train,vgg,20,44,a1,0.0,valley=classes,1392,57,,,57,,,0.99792,0.8201
cifar,train,vgg,20,45,a1,0.0,valley=classes,1474,56,,,56,,,0.99834,0.8188
cifar,train,vgg,20,48,a1,1.1920923270736239e-07,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.99618,0.8136
cifar,train,vgg,20,6,a1,0.1641296148300171,valley=classes,20,1,1.9,42.0,1,129.0,55.0,0.83876,0.7557
cifar,train,vgg,20,9,a1,0.03820261359214783,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.91268,0.78
cifar,trainUval,vgg,20,0,a1,0.011358976364135742,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0898,0.088
cifar,trainUval,vgg,20,12,a1,0.01010844111442566,valley=classes,20,1,1.9,36.0,1,119.0,52.0,0.95462,0.7898
cifar,trainUval,vgg,20,15,a1,2.3841823804104934e-07,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.97316,0.7943
cifar,trainUval,vgg,20,18,a1,0.006758923642337322,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.981,0.7998
cifar,trainUval,vgg,20,21,a1,0.04484936594963074,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.98854,0.8085
cifar,trainUval,vgg,20,24,a1,3.5762673178396653e-07,valley=classes,20,1,1.9,50.0,1,140.0,57.0,0.99238,0.8068
cifar,trainUval,vgg,20,27,a1,0.040145039558410645,valley=classes,20,1,1.9,28.0,1,108.0,50.0,0.99514,0.8122
cifar,trainUval,vgg,20,30,a1,0.0,valley=classes,1013,37,,,37,,,0.99386,0.807
cifar,trainUval,vgg,20,33,a1,0.007470130920410156,valley=classes,20,1,1.9,36.0,1,127.0,54.0,0.99152,0.8
cifar,trainUval,vgg,20,36,a1,0.0,valley=classes,1423,74,,,74,,,0.99544,0.8109
cifar,trainUval,vgg,20,39,a1,0.013960063457489014,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.99804,0.8168
cifar,trainUval,vgg,20,3,a1,0.16519272327423096,valley=classes,20,1,1.9,22.0,1,89.0,47.0,0.69552,0.6654
cifar,trainUval,vgg,20,42,a1,0.06676813215017319,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.99744,0.8124
cifar,trainUval,vgg,20,44,a1,0.0,valley=classes,1644,68,,,68,,,0.99792,0.8201
cifar,trainUval,vgg,20,45,a1,0.0,valley=classes,1689,69,,,69,,,0.99834,0.8188
cifar,trainUval,vgg,20,48,a1,1.1920923270736239e-07,valley=classes,20,1,1.9,22.0,1,104.0,49.0,0.99618,0.8136
cifar,trainUval,vgg,20,6,a1,0.16457116603851318,valley=classes,20,1,1.9,36.0,1,119.0,52.0,0.83876,0.7557
cifar,trainUval,vgg,20,9,a1,0.15001362562179565,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.91268,0.78
cifar,val,vgg,20,0,a1,0.008217573165893555,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.0898,0.088
cifar,val,vgg,20,12,a1,0.0722137987613678,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.95462,0.7898
cifar,val,vgg,20,15,a1,0.015943586826324463,valley=classes,20,1,1.9,34.0,1,111.0,51.0,0.97316,0.7943
cifar,val,vgg,20,18,a1,0.029268771409988403,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.981,0.7998
cifar,val,vgg,20,21,a1,0.04678596183657646,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.98854,0.8085
cifar,val,vgg,20,24,a1,0.024281494319438934,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.99238,0.8068
cifar,val,vgg,20,27,a1,0.0,valley=classes,184,5,,,5,,,0.99514,0.8122
cifar,val,vgg,20,30,a1,0.00412430614233017,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.99386,0.807
cifar,val,vgg,20,33,a1,0.10275188088417053,valley=classes,20,1,1.9,46.0,1,142.0,57.0,0.99152,0.8
cifar,val,vgg,20,36,a1,0.0,valley=classes,208,9,,,9,,,0.99544,0.8109
cifar,val,vgg,20,39,a1,0.046280622482299805,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.99804,0.8168
cifar,val,vgg,20,3,a1,0.07742518186569214,valley=classes,20,1,1.9,36.0,1,111.0,52.0,0.69552,0.6654
cifar,val,vgg,20,42,a1,0.044664591550827026,valley=classes,20,1,1.9,16.0,1,83.0,46.0,0.99744,0.8124
cifar,val,vgg,20,44,a1,0.00740450294688344,valley=classes,20,1,1.9,50.0,1,136.0,57.0,0.99792,0.8201
cifar,val,vgg,20,45,a1,0.0,valley=classes,246,5,,,5,,,0.99834,0.8188
cifar,val,vgg,20,48,a1,0.008939010091125965,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.99618,0.8136
cifar,val,vgg,20,6,a1,0.05654573440551758,valley=classes,20,1,1.9,40.0,1,128.0,54.0,0.83876,0.7557
cifar,val,vgg,20,9,a1,0.032518208026885986,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.91268,0.78
mnist,train,vgg,20,0,a1,0.026034832000732422,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.07863333333333333,0.0759
mnist,train,vgg,20,10,a1,0.0,valley=classes,789,28,,,28,,,0.9944,0.9896
mnist,train,vgg,20,11,a1,9.53634298639372e-07,valley=classes,20,1,1.9,44.0,1,124.0,54.0,0.9962,0.9894
mnist,train,vgg,20,12,a1,5.244924977887422e-06,valley=classes,20,1,1.9,30.0,1,90.0,49.0,0.996,0.99
mnist,train,vgg,20,13,a1,1.1920906217710581e-07,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.9942,0.9865
mnist,train,vgg,20,14,a1,2.3004664399195462e-05,valley=classes,20,1,1.9,20.0,1,86.0,46.0,0.9965666666666667,0.9897
mnist,train,vgg,20,15,a1,1.3467331882566214e-05,valley=classes,20,1,1.9,30.0,1,109.0,51.0,0.9972666666666666,0.9901
mnist,train,vgg,20,1,a1,0.14613689482212067,valley=classes,20,1,1.9,40.0,1,128.0,54.0,0.9642,0.9676
mnist,train,vgg,20,2,a1,0.14177851378917694,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.9774666666666667,0.9763
mnist,train,vgg,20,3,a1,0.24703049659729004,valley=classes,20,1,1.9,42.0,1,129.0,55.0,0.9815,0.9799
mnist,train,vgg,20,4,a1,1.1920917586394353e-07,valley=classes,20,1,1.9,10.0,1,78.0,45.0,0.98955,0.9866
mnist,train,vgg,20,5,a1,3.2182797440327704e-06,valley=classes,20,1,1.9,48.0,1,128.0,56.0,0.99235,0.987
mnist,train,vgg,20,6,a1,0.1479455977678299,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.98915,0.986
mnist,train,vgg,20,7,a1,0.02308833599090576,valley=classes,20,1,1.9,18.0,1,92.0,47.0,0.9917,0.9868
mnist,train,vgg,20,8,a1,1.1920928244535389e-07,valley=classes,20,1,1.9,42.0,1,133.0,55.0,0.9938666666666667,0.9889
mnist,train,vgg,20,9,a1,3.933433617930859e-06,valley=classes,20,1,1.9,46.0,1,129.0,55.0,0.9958333333333333,0.9901
mnist,trainUval,vgg,20,0,a1,0.026034832000732422,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.07863333333333333,0.0759
mnist,trainUval,vgg,20,10,a1,1.1920923270736239e-07,valley=classes,20,1,1.9,30.0,1,101.0,49.0,0.9944,0.9896
mnist,trainUval,vgg,20,11,a1,1.5496789274038747e-06,valley=classes,20,1,1.9,34.0,1,109.0,51.0,0.9962,0.9894
mnist,trainUval,vgg,20,12,a1,5.244924977887422e-06,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.996,0.99
mnist,trainUval,vgg,20,13,a1,2.980200406454969e-06,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9942,0.9865
mnist,trainUval,vgg,20,14,a1,2.3004664399195462e-05,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9965666666666667,0.9897
mnist,trainUval,vgg,20,15,a1,0.0,valley=classes,869,44,,,44,,,0.9972666666666666,0.9901
mnist,trainUval,vgg,20,1,a1,0.14613689482212067,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.9642,0.9676
mnist,trainUval,vgg,20,2,a1,0.14301376044750214,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9774666666666667,0.9763
mnist,trainUval,vgg,20,3,a1,0.26055431365966797,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9815,0.9799
mnist,trainUval,vgg,20,4,a1,1.1920917586394353e-07,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.98955,0.9866
mnist,trainUval,vgg,20,5,a1,2.3841721485950984e-07,valley=classes,20,1,1.9,32.0,1,100.0,50.0,0.99235,0.987
mnist,trainUval,vgg,20,6,a1,0.07875179499387741,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.98915,0.986
mnist,trainUval,vgg,20,7,a1,1.5613564755767584e-05,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9917,0.9868
mnist,trainUval,vgg,20,8,a1,9.536524885334074e-07,valley=classes,20,1,1.9,36.0,1,117.0,52.0,0.9938666666666667,0.9889
mnist,trainUval,vgg,20,9,a1,4.887238901574165e-06,valley=classes,20,1,1.9,34.0,1,109.0,51.0,0.9958333333333333,0.9901
mnist,val,vgg,20,0,a1,0.002706766128540039,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.07863333333333333,0.0759
mnist,val,vgg,20,10,a1,0.0,valley=classes,131,6,,,6,,,0.9944,0.9896
mnist,val,vgg,20,11,a1,8.34435923025012e-07,valley=classes,20,1,1.9,36.0,1,127.0,54.0,0.9962,0.9894
mnist,val,vgg,20,12,a1,0.0,valley=classes,164,7,,,7,,,0.996,0.99
mnist,val,vgg,20,13,a1,1.1920928244535389e-07,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.9942,0.9865
mnist,val,vgg,20,14,a1,1.668925733611104e-06,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.9965666666666667,0.9897
mnist,val,vgg,20,15,a1,0.0,valley=classes,137,2,2.0,731.0,2,7496.0,739.0,0.9972666666666666,0.9901
mnist,val,vgg,20,1,a1,4.433804133441299e-05,valley=classes,20,1,1.9,28.0,1,108.0,50.0,0.9642,0.9676
mnist,val,vgg,20,2,a1,0.00016942142974585295,valley=classes,20,1,1.9,38.0,1,118.0,53.0,0.9774666666666667,0.9763
mnist,val,vgg,20,3,a1,6.794289220124483e-06,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9815,0.9799
mnist,val,vgg,20,4,a1,2.3841823804104934e-07,valley=classes,20,1,1.9,36.0,1,115.0,52.0,0.98955,0.9866
mnist,val,vgg,20,5,a1,1.1920926823449918e-07,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.99235,0.987
mnist,val,vgg,20,6,a1,1.9073195289820433e-06,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.98915,0.986
mnist,val,vgg,20,7,a1,3.5761659091804177e-06,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9917,0.9868
mnist,val,vgg,20,8,a1,3.576260496629402e-07,valley=classes,20,1,1.9,40.0,1,127.0,54.0,0.9938666666666667,0.9889
mnist,val,vgg,20,9,a1,0.0,valley=classes,38,1,1.9473684210526316,178.0,1,782.0,158.0,0.9958333333333333,0.9901
cifar,train,wres,20,0,a1,1.921689510345459,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.10612,0.1065
cifar,train,wres,20,12,a1,0.27650028467178345,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.58238,0.5322
cifar,train,wres,20,15,a1,0.16128742694854736,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.65934,0.5944
cifar,train,wres,20,18,a1,0.11745360493659973,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.71184,0.6095
cifar,train,wres,20,21,a1,0.04786161705851555,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.78076,0.6291
cifar,train,wres,20,24,a1,0.02094195783138275,valley=classes,20,1,1.9,30.0,1,90.0,49.0,0.83864,0.6541
cifar,train,wres,20,27,a1,0.06621213257312775,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.88692,0.6443
cifar,train,wres,20,30,a1,0.010342556983232498,valley=classes,20,1,1.9,50.0,1,136.0,57.0,0.9315,0.6676
cifar,train,wres,20,33,a1,0.0003602049546316266,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.93816,0.6481
cifar,train,wres,20,36,a1,0.0002250394900329411,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.94204,0.6576
cifar,train,wres,20,39,a1,0.0005615227855741978,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.9606,0.6669
cifar,train,wres,20,3,a1,0.3294709324836731,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.29726,0.3001
cifar,train,wres,20,42,a1,8.604695904068649e-05,valley=classes,20,1,1.9,40.0,1,127.0,54.0,0.94962,0.6504
cifar,train,wres,20,45,a1,0.009120586328208447,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.94596,0.6574
cifar,train,wres,20,48,a1,0.00019047294335905463,valley=classes,20,1,1.9,14.0,1,79.0,45.0,0.9647,0.6755
cifar,train,wres,20,6,a1,0.2498333752155304,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.4376,0.4261
cifar,train,wres,20,9,a1,0.34424328804016113,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.51216,0.4962
cifar,trainUval,wres,20,0,a1,2.077285051345825,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.10612,0.1065
cifar,trainUval,wres,20,12,a1,0.3035234212875366,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.58238,0.5322
cifar,trainUval,wres,20,15,a1,0.1998651623725891,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.65934,0.5944
cifar,trainUval,wres,20,18,a1,0.12889236211776733,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.71184,0.6095
cifar,trainUval,wres,20,21,a1,0.13093756139278412,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.78076,0.6291
cifar,trainUval,wres,20,24,a1,0.02760256826877594,valley=classes,20,1,1.9,20.0,1,81.0,46.0,0.83864,0.6541
cifar,trainUval,wres,20,27,a1,0.048797544091939926,valley=classes,20,1,1.9,42.0,1,133.0,55.0,0.88692,0.6443
cifar,trainUval,wres,20,30,a1,0.013437194749712944,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9315,0.6676
cifar,trainUval,wres,20,33,a1,0.002444729208946228,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.93816,0.6481
cifar,trainUval,wres,20,36,a1,0.00019953437731601298,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.94204,0.6576
cifar,trainUval,wres,20,39,a1,0.0005615227855741978,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9606,0.6669
cifar,trainUval,wres,20,3,a1,0.363683819770813,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.29726,0.3001
cifar,trainUval,wres,20,42,a1,9.571464033797383e-05,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.94962,0.6504
cifar,trainUval,wres,20,45,a1,0.03949195519089699,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.94596,0.6574
cifar,trainUval,wres,20,48,a1,0.00022908755636308342,valley=classes,20,1,1.9,30.0,1,115.0,51.0,0.9647,0.6755
cifar,trainUval,wres,20,6,a1,0.28015267848968506,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.4376,0.4261
cifar,trainUval,wres,20,9,a1,0.35230839252471924,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.51216,0.4962
cifar,val,wres,20,0,a1,1.081173300743103,valley=classes,19,2,2.0,60.0,2,162.0,61.0,0.10612,0.1065
cifar,val,wres,20,12,a1,0.16725319623947144,valley=classes,20,1,1.9,40.0,1,128.0,54.0,0.58238,0.5322
cifar,val,wres,20,15,a1,0.09120625257492065,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.65934,0.5944
cifar,val,wres,20,18,a1,0.14841091632843018,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.71184,0.6095
cifar,val,wres,20,21,a1,0.0754743218421936,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.78076,0.6291
cifar,val,wres,20,24,a1,0.047054924070835114,valley=classes,20,1,1.9,36.0,1,111.0,52.0,0.83864,0.6541
cifar,val,wres,20,27,a1,0.04757380485534668,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.88692,0.6443
cifar,val,wres,20,30,a1,0.0219316054135561,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.9315,0.6676
cifar,val,wres,20,33,a1,0.01396554708480835,valley=classes,20,1,1.9,56.0,1,154.0,60.0,0.93816,0.6481
cifar,val,wres,20,36,a1,0.007441842928528786,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.94204,0.6576
cifar,val,wres,20,39,a1,0.0004896435420960188,valley=classes,20,1,1.9,34.0,1,109.0,51.0,0.9606,0.6669
cifar,val,wres,20,3,a1,0.3206007480621338,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.29726,0.3001
cifar,val,wres,20,42,a1,0.029937708750367165,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.94962,0.6504
cifar,val,wres,20,45,a1,0.014264881610870361,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.94596,0.6574
cifar,val,wres,20,48,a1,0.002874564379453659,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9647,0.6755
cifar,val,wres,20,6,a1,0.195989727973938,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.4376,0.4261
cifar,val,wres,20,9,a1,0.23803651332855225,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.51216,0.4962
mnist,train,wres,20,0,a1,1.2876338958740234,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1039,0.1007
mnist,train,wres,20,10,a1,0.0002481567207723856,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9830833333333333,0.9799
mnist,train,wres,20,11,a1,0.0004089796566404402,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9846833333333334,0.9795
mnist,train,wres,20,12,a1,0.00028902722988277674,valley=classes,20,1,1.9,56.0,1,138.0,58.0,0.9875,0.9832
mnist,train,wres,20,13,a1,0.000611461466178298,valley=classes,20,1,1.9,44.0,1,121.0,54.0,0.989,0.9826
mnist,train,wres,20,14,a1,0.0008332012221217155,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.98785,0.9841
mnist,train,wres,20,15,a1,0.0009485629852861166,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.9841,0.9774
mnist,train,wres,20,1,a1,0.672132670879364,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.6395833333333333,0.6448
mnist,train,wres,20,2,a1,0.6348119378089905,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.8585,0.8664
mnist,train,wres,20,3,a1,0.2108355015516281,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.94775,0.9505
mnist,train,wres,20,4,a1,0.1952618807554245,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.9597833333333333,0.9605
mnist,train,wres,20,5,a1,0.06144249439239502,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.9680166666666666,0.9656
mnist,train,wres,20,6,a1,0.0011009557638317347,valley=classes,20,1,1.9,46.0,1,129.0,55.0,0.9725333333333334,0.9687
mnist,train,wres,20,7,a1,0.09742599725723267,valley=classes,20,1,1.9,36.0,1,115.0,52.0,0.9801166666666666,0.9756
mnist,train,wres,20,8,a1,6.746966391801834e-05,valley=classes,20,1,1.9,44.0,1,121.0,54.0,0.9772166666666666,0.9719
mnist,train,wres,20,9,a1,0.009866684675216675,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9820166666666666,0.9756
mnist,trainUval,wres,20,0,a1,1.820741057395935,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1039,0.1007
mnist,trainUval,wres,20,10,a1,0.0002481567207723856,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9830833333333333,0.9799
mnist,trainUval,wres,20,11,a1,0.0004089796566404402,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9846833333333334,0.9795
mnist,trainUval,wres,20,12,a1,0.0003102391492575407,valley=classes,20,1,1.9,18.0,1,83.0,47.0,0.9875,0.9832
mnist,trainUval,wres,20,13,a1,0.0006102701299823821,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.989,0.9826
mnist,trainUval,wres,20,14,a1,0.0008414258481934667,valley=classes,20,1,1.9,54.0,1,149.0,59.0,0.98785,0.9841
mnist,trainUval,wres,20,15,a1,0.09792960435152054,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9841,0.9774
mnist,trainUval,wres,20,1,a1,0.7357721328735352,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.6395833333333333,0.6448
mnist,trainUval,wres,20,2,a1,0.7772557735443115,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.8585,0.8664
mnist,trainUval,wres,20,3,a1,0.2108355015516281,valley=classes,20,1,1.9,36.0,1,111.0,52.0,0.94775,0.9505
mnist,trainUval,wres,20,4,a1,0.1789514422416687,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.9597833333333333,0.9605
mnist,trainUval,wres,20,5,a1,0.06144249439239502,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9680166666666666,0.9656
mnist,trainUval,wres,20,6,a1,0.0011041708057746291,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9725333333333334,0.9687
mnist,trainUval,wres,20,7,a1,0.00028879017918370664,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9801166666666666,0.9756
mnist,trainUval,wres,20,8,a1,6.282084359554574e-05,valley=classes,20,1,1.9,42.0,1,116.0,53.0,0.9772166666666666,0.9719
mnist,trainUval,wres,20,9,a1,0.00026479162625037134,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9820166666666666,0.9756
mnist,val,wres,20,0,a1,0.3042530417442322,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1039,0.1007
mnist,val,wres,20,10,a1,0.00023778749164193869,valley=classes,20,1,1.9,36.0,1,127.0,54.0,0.9830833333333333,0.9799
mnist,val,wres,20,11,a1,0.00038240139838308096,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9846833333333334,0.9795
mnist,val,wres,20,12,a1,0.0002836633357219398,valley=classes,20,1,1.9,46.0,1,142.0,57.0,0.9875,0.9832
mnist,val,wres,20,13,a1,0.0005926343146711588,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.989,0.9826
mnist,val,wres,20,14,a1,0.0008290395489893854,valley=classes,20,1,1.9,46.0,1,125.0,55.0,0.98785,0.9841
mnist,val,wres,20,15,a1,0.0008845928823575377,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9841,0.9774
mnist,val,wres,20,1,a1,0.24680915474891663,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.6395833333333333,0.6448
mnist,val,wres,20,2,a1,0.257668137550354,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.8585,0.8664
mnist,val,wres,20,3,a1,0.005589849315583706,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.94775,0.9505
mnist,val,wres,20,4,a1,0.0019327678019180894,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.9597833333333333,0.9605
mnist,val,wres,20,5,a1,0.00044336955761536956,valley=classes,20,1,1.9,52.0,1,143.0,58.0,0.9680166666666666,0.9656
mnist,val,wres,20,6,a1,0.0011365541722625494,valley=classes,20,1,1.9,50.0,1,136.0,57.0,0.9725333333333334,0.9687
mnist,val,wres,20,7,a1,0.0003526576911099255,valley=classes,20,1,1.9,50.0,1,140.0,57.0,0.9801166666666666,0.9756
mnist,val,wres,20,8,a1,5.8171986893285066e-05,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9772166666666666,0.9719
mnist,val,wres,20,9,a1,0.000184624528628774,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.9820166666666666,0.9756
