dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,train,densenet,20,0,a1,0.001,1e-3,2215,2.098578199052133,,93,234524562.0,587432.0,0.09992,0.0998
cifar,train,densenet,20,12,a1,0.001,1e-3,54,1.962962962962963,382.0,1,2173.0,292.0,0.87682,0.7403
cifar,train,densenet,20,15,a1,0.001,1e-3,46,1.9565217391304348,248.0,1,1328.0,209.0,0.90258,0.7422
cifar,train,densenet,20,18,a1,0.001,1e-3,24,1.9166666666666667,76.0,1,239.0,78.0,0.93044,0.7493
cifar,train,densenet,20,21,a1,0.001,1e-3,22,1.9090909090909092,58.0,1,160.0,64.0,0.95162,0.749
cifar,train,densenet,20,24,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.95506,0.7413
cifar,train,densenet,20,27,a1,0.001,1e-3,20,1.9,60.0,1,151.0,60.0,0.9589,0.7468
cifar,train,densenet,20,30,a1,0.001,1e-3,20,1.9,40.0,1,128.0,54.0,0.96386,0.7517
cifar,train,densenet,20,33,a1,0.001,1e-3,20,1.9,64.0,1,160.0,62.0,0.97058,0.7626
cifar,train,densenet,20,36,a1,0.001,1e-3,20,1.9,52.0,1,143.0,58.0,0.95304,0.7403
cifar,train,densenet,20,39,a1,0.001,1e-3,22,1.9090909090909092,76.0,1,200.0,71.0,0.9645,0.7509
cifar,train,densenet,20,3,a1,0.001,1e-3,238,2.0084745762711864,8735.0,3,213650.0,4933.0,0.57684,0.5581
cifar,train,densenet,20,42,a1,0.001,1e-3,20,1.9,72.0,1,165.0,64.0,0.95498,0.7467
cifar,train,densenet,20,45,a1,0.001,1e-3,20,1.9,58.0,1,145.0,59.0,0.96312,0.754
cifar,train,densenet,20,48,a1,0.001,1e-3,22,1.9090909090909092,66.0,1,183.0,68.0,0.95776,0.7486
cifar,train,densenet,20,6,a1,0.001,1e-3,150,1.9866666666666666,3934.0,1,53915.0,2242.0,0.70066,0.6599
cifar,train,densenet,20,9,a1,0.001,1e-3,64,1.96875,542.0,1,3897.0,399.0,0.81172,0.7244
cifar,trainUval,densenet,20,0,a1,0.001,1e-3,2598,2.102834008097166,,114,374957618.0,803391.0,0.09992,0.0998
cifar,trainUval,densenet,20,12,a1,0.001,1e-3,62,1.967741935483871,448.0,1,2916.0,345.0,0.87682,0.7403
cifar,trainUval,densenet,20,15,a1,0.001,1e-3,54,1.962962962962963,420.0,1,2485.0,309.0,0.90258,0.7422
